name	type	units	low_cutoff	high_cutoff	sampling_frequency	modulated	n_trials	padding
LMTG-23	EEG	uV	n/a	n/a	1000	1	217	77976
LMTG-24	EEG	uV	n/a	n/a	1000	1	157	467856
LMTG-25	EEG	uV	n/a	n/a	1000	1	213	103968
LMTG-26	EEG	uV	n/a	n/a	1000	1	195	220932
LMTG-27	EEG	uV	n/a	n/a	1000	1	222	45486
RMTG-63	EEG	uV	n/a	n/a	1000	1	213	103968
RMTG-64	EEG	uV	n/a	n/a	1000	1	152	500346
RMTG-65	EEG	uV	n/a	n/a	1000	1	171	376884
RMTG-66	EEG	uV	n/a	n/a	1000	1	180	318402
LMFG-6	EEG	uV	n/a	n/a	1000	0	210	123462
LMFG-7	EEG	uV	n/a	n/a	1000	1	225	25992
LMFG-8	EEG	uV	n/a	n/a	1000	1	195	220932
LMFG-9	EEG	uV	n/a	n/a	1000	1	203	168948
RMFG-46	EEG	uV	n/a	n/a	1000	1	222	45486
RMFG-47	EEG	uV	n/a	n/a	1000	1	223	38988
RMFG-48	EEG	uV	n/a	n/a	1000	1	229	0
RMFG-49	EEG	uV	n/a	n/a	1000	1	229	0
RMFG-50	EEG	uV	n/a	n/a	1000	1	229	0
