name	type	units	low_cutoff	high_cutoff	sampling_frequency	modulated	n_trials	padding
LMTG-16	EEG	uV	n/a	n/a	1000	1	75	12996
LMTG-17	EEG	uV	n/a	n/a	1000	1	69	51984
LMTG-18	EEG	uV	n/a	n/a	1000	1	67	64980
LMTG-23	EEG	uV	n/a	n/a	1000	1	75	12996
LMTG-24	EEG	uV	n/a	n/a	1000	1	77	0
LMTG-25	EEG	uV	n/a	n/a	1000	1	76	6498
LMTG-97	EEG	uV	n/a	n/a	1000	1	72	32490
LMTG-98	EEG	uV	n/a	n/a	1000	1	71	38988
LMTG-99	EEG	uV	n/a	n/a	1000	1	75	12996
