subject	region	channel	trial_idx
sub-MU5	LMTG	7	1
sub-MU5	LMTG	7	2
sub-MU5	LMTG	7	3
sub-MU5	LMTG	7	4
sub-MU5	LMTG	7	5
sub-MU5	LMTG	7	6
sub-MU5	LMTG	7	7
sub-MU5	LMTG	7	8
sub-MU5	LMTG	7	9
sub-MU5	LMTG	7	10
sub-MU5	LMTG	7	11
sub-MU5	LMTG	7	12
sub-MU5	LMTG	7	13
sub-MU5	LMTG	7	14
sub-MU5	LMTG	7	15
sub-MU5	LMTG	7	16
sub-MU5	LMTG	7	17
sub-MU5	LMTG	7	18
sub-MU5	LMTG	7	19
sub-MU5	LMTG	7	20
sub-MU5	LMTG	7	21
sub-MU5	LMTG	7	22
sub-MU5	LMTG	7	23
sub-MU5	LMTG	7	24
sub-MU5	LMTG	7	25
sub-MU5	LMTG	7	26
sub-MU5	LMTG	7	27
sub-MU5	LMTG	7	28
sub-MU5	LMTG	7	29
sub-MU5	LMTG	7	30
sub-MU5	LMTG	7	31
sub-MU5	LMTG	7	32
sub-MU5	LMTG	7	33
sub-MU5	LMTG	7	34
sub-MU5	LMTG	7	35
sub-MU5	LMTG	7	36
sub-MU5	LMTG	7	37
sub-MU5	LMTG	7	38
sub-MU5	LMTG	7	39
sub-MU5	LMTG	7	40
sub-MU5	LMTG	7	41
sub-MU5	LMTG	7	42
sub-MU5	LMTG	7	43
sub-MU5	LMTG	7	44
sub-MU5	LMTG	7	45
sub-MU5	LMTG	7	47
sub-MU5	LMTG	7	48
sub-MU5	LMTG	7	49
sub-MU5	LMTG	7	50
sub-MU5	LMTG	7	51
sub-MU5	LMTG	7	52
sub-MU5	LMTG	7	53
sub-MU5	LMTG	7	54
sub-MU5	LMTG	7	55
sub-MU5	LMTG	7	56
sub-MU5	LMTG	7	57
sub-MU5	LMTG	7	58
sub-MU5	LMTG	7	59
sub-MU5	LMTG	7	60
sub-MU5	LMTG	7	61
sub-MU5	LMTG	7	62
sub-MU5	LMTG	7	63
sub-MU5	LMTG	7	64
sub-MU5	LMTG	7	65
sub-MU5	LMTG	7	66
sub-MU5	LMTG	7	67
sub-MU5	LMTG	7	68
sub-MU5	LMTG	7	69
sub-MU5	LMTG	7	70
sub-MU5	LMTG	7	71
sub-MU5	LMTG	7	72
sub-MU5	LMTG	7	73
sub-MU5	LMTG	7	74
sub-MU5	LMTG	7	75
sub-MU5	LMTG	7	76
sub-MU5	LMTG	7	77
sub-MU5	LMTG	7	78
sub-MU5	LMTG	7	79
sub-MU5	LMTG	7	80
sub-MU5	LMTG	7	81
sub-MU5	LMTG	7	82
sub-MU5	LMTG	7	83
sub-MU5	LMTG	7	84
sub-MU5	LMTG	7	85
sub-MU5	LMTG	7	86
sub-MU5	LMTG	7	87
sub-MU5	LMTG	7	88
sub-MU5	LMTG	7	89
sub-MU5	LMTG	7	90
sub-MU5	LMTG	7	91
sub-MU5	LMTG	7	92
sub-MU5	LMTG	7	93
sub-MU5	LMTG	7	94
sub-MU5	LMTG	7	95
sub-MU5	LMTG	7	96
sub-MU5	LMTG	7	97
sub-MU5	LMTG	7	98
sub-MU5	LMTG	7	99
sub-MU5	LMTG	7	100
sub-MU5	LMTG	7	101
sub-MU5	LMTG	7	102
sub-MU5	LMTG	7	103
sub-MU5	LMTG	7	104
sub-MU5	LMTG	7	105
sub-MU5	LMTG	7	106
sub-MU5	LMTG	7	107
sub-MU5	LMTG	7	108
sub-MU5	LMTG	8	1
sub-MU5	LMTG	8	2
sub-MU5	LMTG	8	3
sub-MU5	LMTG	8	4
sub-MU5	LMTG	8	5
sub-MU5	LMTG	8	6
sub-MU5	LMTG	8	7
sub-MU5	LMTG	8	8
sub-MU5	LMTG	8	9
sub-MU5	LMTG	8	10
sub-MU5	LMTG	8	11
sub-MU5	LMTG	8	12
sub-MU5	LMTG	8	13
sub-MU5	LMTG	8	14
sub-MU5	LMTG	8	15
sub-MU5	LMTG	8	16
sub-MU5	LMTG	8	17
sub-MU5	LMTG	8	18
sub-MU5	LMTG	8	19
sub-MU5	LMTG	8	20
sub-MU5	LMTG	8	21
sub-MU5	LMTG	8	22
sub-MU5	LMTG	8	23
sub-MU5	LMTG	8	24
sub-MU5	LMTG	8	25
sub-MU5	LMTG	8	26
sub-MU5	LMTG	8	27
sub-MU5	LMTG	8	28
sub-MU5	LMTG	8	29
sub-MU5	LMTG	8	30
sub-MU5	LMTG	8	31
sub-MU5	LMTG	8	32
sub-MU5	LMTG	8	33
sub-MU5	LMTG	8	34
sub-MU5	LMTG	8	35
sub-MU5	LMTG	8	36
sub-MU5	LMTG	8	37
sub-MU5	LMTG	8	38
sub-MU5	LMTG	8	39
sub-MU5	LMTG	8	40
sub-MU5	LMTG	8	41
sub-MU5	LMTG	8	42
sub-MU5	LMTG	8	43
sub-MU5	LMTG	8	44
sub-MU5	LMTG	8	45
sub-MU5	LMTG	8	47
sub-MU5	LMTG	8	48
sub-MU5	LMTG	8	49
sub-MU5	LMTG	8	50
sub-MU5	LMTG	8	51
sub-MU5	LMTG	8	52
sub-MU5	LMTG	8	53
sub-MU5	LMTG	8	54
sub-MU5	LMTG	8	55
sub-MU5	LMTG	8	56
sub-MU5	LMTG	8	57
sub-MU5	LMTG	8	58
sub-MU5	LMTG	8	59
sub-MU5	LMTG	8	60
sub-MU5	LMTG	8	61
sub-MU5	LMTG	8	62
sub-MU5	LMTG	8	63
sub-MU5	LMTG	8	64
sub-MU5	LMTG	8	65
sub-MU5	LMTG	8	66
sub-MU5	LMTG	8	67
sub-MU5	LMTG	8	68
sub-MU5	LMTG	8	69
sub-MU5	LMTG	8	70
sub-MU5	LMTG	8	71
sub-MU5	LMTG	8	72
sub-MU5	LMTG	8	73
sub-MU5	LMTG	8	74
sub-MU5	LMTG	8	75
sub-MU5	LMTG	8	76
sub-MU5	LMTG	8	77
sub-MU5	LMTG	8	78
sub-MU5	LMTG	8	79
sub-MU5	LMTG	8	80
sub-MU5	LMTG	8	81
sub-MU5	LMTG	8	82
sub-MU5	LMTG	8	83
sub-MU5	LMTG	8	84
sub-MU5	LMTG	8	85
sub-MU5	LMTG	8	86
sub-MU5	LMTG	8	87
sub-MU5	LMTG	8	88
sub-MU5	LMTG	8	89
sub-MU5	LMTG	8	90
sub-MU5	LMTG	8	91
sub-MU5	LMTG	8	92
sub-MU5	LMTG	8	93
sub-MU5	LMTG	8	94
sub-MU5	LMTG	8	95
sub-MU5	LMTG	8	96
sub-MU5	LMTG	8	97
sub-MU5	LMTG	8	98
sub-MU5	LMTG	8	99
sub-MU5	LMTG	8	100
sub-MU5	LMTG	8	101
sub-MU5	LMTG	8	102
sub-MU5	LMTG	8	103
sub-MU5	LMTG	8	104
sub-MU5	LMTG	8	105
sub-MU5	LMTG	8	106
sub-MU5	LMTG	8	107
sub-MU5	LMTG	8	108
sub-MU5	LMTG	15	1
sub-MU5	LMTG	15	2
sub-MU5	LMTG	15	3
sub-MU5	LMTG	15	4
sub-MU5	LMTG	15	5
sub-MU5	LMTG	15	6
sub-MU5	LMTG	15	7
sub-MU5	LMTG	15	9
sub-MU5	LMTG	15	10
sub-MU5	LMTG	15	11
sub-MU5	LMTG	15	12
sub-MU5	LMTG	15	13
sub-MU5	LMTG	15	15
sub-MU5	LMTG	15	16
sub-MU5	LMTG	15	17
sub-MU5	LMTG	15	18
sub-MU5	LMTG	15	19
sub-MU5	LMTG	15	20
sub-MU5	LMTG	15	21
sub-MU5	LMTG	15	22
sub-MU5	LMTG	15	23
sub-MU5	LMTG	15	24
sub-MU5	LMTG	15	25
sub-MU5	LMTG	15	26
sub-MU5	LMTG	15	27
sub-MU5	LMTG	15	28
sub-MU5	LMTG	15	29
sub-MU5	LMTG	15	30
sub-MU5	LMTG	15	31
sub-MU5	LMTG	15	32
sub-MU5	LMTG	15	33
sub-MU5	LMTG	15	34
sub-MU5	LMTG	15	35
sub-MU5	LMTG	15	36
sub-MU5	LMTG	15	37
sub-MU5	LMTG	15	38
sub-MU5	LMTG	15	39
sub-MU5	LMTG	15	40
sub-MU5	LMTG	15	41
sub-MU5	LMTG	15	42
sub-MU5	LMTG	15	43
sub-MU5	LMTG	15	44
sub-MU5	LMTG	15	45
sub-MU5	LMTG	15	46
sub-MU5	LMTG	15	47
sub-MU5	LMTG	15	48
sub-MU5	LMTG	15	50
sub-MU5	LMTG	15	52
sub-MU5	LMTG	15	53
sub-MU5	LMTG	15	54
sub-MU5	LMTG	15	55
sub-MU5	LMTG	15	56
sub-MU5	LMTG	15	57
sub-MU5	LMTG	15	59
sub-MU5	LMTG	15	60
sub-MU5	LMTG	15	61
sub-MU5	LMTG	15	62
sub-MU5	LMTG	15	65
sub-MU5	LMTG	15	66
sub-MU5	LMTG	15	67
sub-MU5	LMTG	15	68
sub-MU5	LMTG	15	71
sub-MU5	LMTG	15	73
sub-MU5	LMTG	15	74
sub-MU5	LMTG	15	75
sub-MU5	LMTG	15	76
sub-MU5	LMTG	15	78
sub-MU5	LMTG	15	79
sub-MU5	LMTG	15	80
sub-MU5	LMTG	15	81
sub-MU5	LMTG	15	82
sub-MU5	LMTG	15	83
sub-MU5	LMTG	15	84
sub-MU5	LMTG	15	85
sub-MU5	LMTG	15	86
sub-MU5	LMTG	15	87
sub-MU5	LMTG	15	88
sub-MU5	LMTG	15	89
sub-MU5	LMTG	15	90
sub-MU5	LMTG	15	91
sub-MU5	LMTG	15	92
sub-MU5	LMTG	15	93
sub-MU5	LMTG	15	94
sub-MU5	LMTG	15	95
sub-MU5	LMTG	15	96
sub-MU5	LMTG	15	97
sub-MU5	LMTG	15	98
sub-MU5	LMTG	15	99
sub-MU5	LMTG	15	100
sub-MU5	LMTG	15	101
sub-MU5	LMTG	15	102
sub-MU5	LMTG	15	103
sub-MU5	LMTG	15	105
sub-MU5	LMTG	15	106
sub-MU5	LMTG	15	107
sub-MU5	LMTG	15	108
sub-MU5	LMTG	22	1
sub-MU5	LMTG	22	2
sub-MU5	LMTG	22	3
sub-MU5	LMTG	22	4
sub-MU5	LMTG	22	5
sub-MU5	LMTG	22	6
sub-MU5	LMTG	22	7
sub-MU5	LMTG	22	8
sub-MU5	LMTG	22	9
sub-MU5	LMTG	22	10
sub-MU5	LMTG	22	11
sub-MU5	LMTG	22	12
sub-MU5	LMTG	22	14
sub-MU5	LMTG	22	15
sub-MU5	LMTG	22	16
sub-MU5	LMTG	22	17
sub-MU5	LMTG	22	18
sub-MU5	LMTG	22	19
sub-MU5	LMTG	22	20
sub-MU5	LMTG	22	21
sub-MU5	LMTG	22	23
sub-MU5	LMTG	22	24
sub-MU5	LMTG	22	25
sub-MU5	LMTG	22	26
sub-MU5	LMTG	22	27
sub-MU5	LMTG	22	28
sub-MU5	LMTG	22	29
sub-MU5	LMTG	22	30
sub-MU5	LMTG	22	31
sub-MU5	LMTG	22	32
sub-MU5	LMTG	22	33
sub-MU5	LMTG	22	34
sub-MU5	LMTG	22	35
sub-MU5	LMTG	22	36
sub-MU5	LMTG	22	37
sub-MU5	LMTG	22	38
sub-MU5	LMTG	22	40
sub-MU5	LMTG	22	41
sub-MU5	LMTG	22	42
sub-MU5	LMTG	22	44
sub-MU5	LMTG	22	45
sub-MU5	LMTG	22	46
sub-MU5	LMTG	22	47
sub-MU5	LMTG	22	48
sub-MU5	LMTG	22	49
sub-MU5	LMTG	22	50
sub-MU5	LMTG	22	51
sub-MU5	LMTG	22	53
sub-MU5	LMTG	22	55
sub-MU5	LMTG	22	56
sub-MU5	LMTG	22	57
sub-MU5	LMTG	22	58
sub-MU5	LMTG	22	60
sub-MU5	LMTG	22	61
sub-MU5	LMTG	22	62
sub-MU5	LMTG	22	63
sub-MU5	LMTG	22	64
sub-MU5	LMTG	22	66
sub-MU5	LMTG	22	67
sub-MU5	LMTG	22	68
sub-MU5	LMTG	22	69
sub-MU5	LMTG	22	71
sub-MU5	LMTG	22	72
sub-MU5	LMTG	22	73
sub-MU5	LMTG	22	74
sub-MU5	LMTG	22	75
sub-MU5	LMTG	22	76
sub-MU5	LMTG	22	77
sub-MU5	LMTG	22	78
sub-MU5	LMTG	22	79
sub-MU5	LMTG	22	80
sub-MU5	LMTG	22	82
sub-MU5	LMTG	22	83
sub-MU5	LMTG	22	84
sub-MU5	LMTG	22	85
sub-MU5	LMTG	22	86
sub-MU5	LMTG	22	88
sub-MU5	LMTG	22	89
sub-MU5	LMTG	22	90
sub-MU5	LMTG	22	91
sub-MU5	LMTG	22	93
sub-MU5	LMTG	22	94
sub-MU5	LMTG	22	97
sub-MU5	LMTG	22	98
sub-MU5	LMTG	22	99
sub-MU5	LMTG	22	100
sub-MU5	LMTG	22	101
sub-MU5	LMTG	22	103
sub-MU5	LMTG	22	104
sub-MU5	LMTG	22	105
sub-MU5	LMTG	22	106
sub-MU5	LMTG	26	1
sub-MU5	LMTG	26	2
sub-MU5	LMTG	26	3
sub-MU5	LMTG	26	4
sub-MU5	LMTG	26	5
sub-MU5	LMTG	26	6
sub-MU5	LMTG	26	7
sub-MU5	LMTG	26	8
sub-MU5	LMTG	26	9
sub-MU5	LMTG	26	10
sub-MU5	LMTG	26	11
sub-MU5	LMTG	26	12
sub-MU5	LMTG	26	13
sub-MU5	LMTG	26	14
sub-MU5	LMTG	26	15
sub-MU5	LMTG	26	16
sub-MU5	LMTG	26	17
sub-MU5	LMTG	26	18
sub-MU5	LMTG	26	19
sub-MU5	LMTG	26	20
sub-MU5	LMTG	26	21
sub-MU5	LMTG	26	22
sub-MU5	LMTG	26	23
sub-MU5	LMTG	26	24
sub-MU5	LMTG	26	25
sub-MU5	LMTG	26	26
sub-MU5	LMTG	26	27
sub-MU5	LMTG	26	28
sub-MU5	LMTG	26	29
sub-MU5	LMTG	26	30
sub-MU5	LMTG	26	31
sub-MU5	LMTG	26	32
sub-MU5	LMTG	26	33
sub-MU5	LMTG	26	34
sub-MU5	LMTG	26	35
sub-MU5	LMTG	26	36
sub-MU5	LMTG	26	37
sub-MU5	LMTG	26	38
sub-MU5	LMTG	26	39
sub-MU5	LMTG	26	40
sub-MU5	LMTG	26	41
sub-MU5	LMTG	26	42
sub-MU5	LMTG	26	43
sub-MU5	LMTG	26	44
sub-MU5	LMTG	26	45
sub-MU5	LMTG	26	46
sub-MU5	LMTG	26	47
sub-MU5	LMTG	26	48
sub-MU5	LMTG	26	49
sub-MU5	LMTG	26	50
sub-MU5	LMTG	26	51
sub-MU5	LMTG	26	52
sub-MU5	LMTG	26	53
sub-MU5	LMTG	26	54
sub-MU5	LMTG	26	55
sub-MU5	LMTG	26	56
sub-MU5	LMTG	26	57
sub-MU5	LMTG	26	58
sub-MU5	LMTG	26	59
sub-MU5	LMTG	26	60
sub-MU5	LMTG	26	61
sub-MU5	LMTG	26	62
sub-MU5	LMTG	26	63
sub-MU5	LMTG	26	64
sub-MU5	LMTG	26	65
sub-MU5	LMTG	26	66
sub-MU5	LMTG	26	67
sub-MU5	LMTG	26	68
sub-MU5	LMTG	26	69
sub-MU5	LMTG	26	70
sub-MU5	LMTG	26	71
sub-MU5	LMTG	26	72
sub-MU5	LMTG	26	73
sub-MU5	LMTG	26	74
sub-MU5	LMTG	26	75
sub-MU5	LMTG	26	76
sub-MU5	LMTG	26	77
sub-MU5	LMTG	26	78
sub-MU5	LMTG	26	79
sub-MU5	LMTG	26	80
sub-MU5	LMTG	26	81
sub-MU5	LMTG	26	82
sub-MU5	LMTG	26	83
sub-MU5	LMTG	26	84
sub-MU5	LMTG	26	85
sub-MU5	LMTG	26	86
sub-MU5	LMTG	26	87
sub-MU5	LMTG	26	88
sub-MU5	LMTG	26	89
sub-MU5	LMTG	26	90
sub-MU5	LMTG	26	91
sub-MU5	LMTG	26	92
sub-MU5	LMTG	26	93
sub-MU5	LMTG	26	94
sub-MU5	LMTG	26	95
sub-MU5	LMTG	26	96
sub-MU5	LMTG	26	97
sub-MU5	LMTG	26	98
sub-MU5	LMTG	26	99
sub-MU5	LMTG	26	100
sub-MU5	LMTG	26	101
sub-MU5	LMTG	26	102
sub-MU5	LMTG	26	103
sub-MU5	LMTG	26	104
sub-MU5	LMTG	26	105
sub-MU5	LMTG	26	106
sub-MU5	LMTG	26	107
sub-MU5	LMTG	26	108
sub-MU5	LMTG	78	1
sub-MU5	LMTG	78	2
sub-MU5	LMTG	78	3
sub-MU5	LMTG	78	4
sub-MU5	LMTG	78	5
sub-MU5	LMTG	78	6
sub-MU5	LMTG	78	7
sub-MU5	LMTG	78	8
sub-MU5	LMTG	78	9
sub-MU5	LMTG	78	11
sub-MU5	LMTG	78	12
sub-MU5	LMTG	78	13
sub-MU5	LMTG	78	15
sub-MU5	LMTG	78	16
sub-MU5	LMTG	78	17
sub-MU5	LMTG	78	19
sub-MU5	LMTG	78	20
sub-MU5	LMTG	78	22
sub-MU5	LMTG	78	23
sub-MU5	LMTG	78	24
sub-MU5	LMTG	78	25
sub-MU5	LMTG	78	26
sub-MU5	LMTG	78	27
sub-MU5	LMTG	78	29
sub-MU5	LMTG	78	30
sub-MU5	LMTG	78	31
sub-MU5	LMTG	78	32
sub-MU5	LMTG	78	33
sub-MU5	LMTG	78	34
sub-MU5	LMTG	78	35
sub-MU5	LMTG	78	37
sub-MU5	LMTG	78	38
sub-MU5	LMTG	78	39
sub-MU5	LMTG	78	40
sub-MU5	LMTG	78	41
sub-MU5	LMTG	78	45
sub-MU5	LMTG	78	48
sub-MU5	LMTG	78	49
sub-MU5	LMTG	78	50
sub-MU5	LMTG	78	53
sub-MU5	LMTG	78	55
sub-MU5	LMTG	78	56
sub-MU5	LMTG	78	57
sub-MU5	LMTG	78	60
sub-MU5	LMTG	78	62
sub-MU5	LMTG	78	63
sub-MU5	LMTG	78	65
sub-MU5	LMTG	78	67
sub-MU5	LMTG	78	68
sub-MU5	LMTG	78	69
sub-MU5	LMTG	78	71
sub-MU5	LMTG	78	75
sub-MU5	LMTG	78	76
sub-MU5	LMTG	78	78
sub-MU5	LMTG	78	82
sub-MU5	LMTG	78	83
sub-MU5	LMTG	78	85
sub-MU5	LMTG	78	87
sub-MU5	LMTG	78	90
sub-MU5	LMTG	78	93
sub-MU5	LMTG	78	94
sub-MU5	LMTG	78	95
sub-MU5	LMTG	78	97
sub-MU5	LMTG	78	100
sub-MU5	LMTG	78	102
sub-MU5	LMTG	78	106
sub-MU5	LMTG	152	1
sub-MU5	LMTG	152	2
sub-MU5	LMTG	152	3
sub-MU5	LMTG	152	4
sub-MU5	LMTG	152	5
sub-MU5	LMTG	152	6
sub-MU5	LMTG	152	7
sub-MU5	LMTG	152	9
sub-MU5	LMTG	152	10
sub-MU5	LMTG	152	11
sub-MU5	LMTG	152	12
sub-MU5	LMTG	152	13
sub-MU5	LMTG	152	14
sub-MU5	LMTG	152	15
sub-MU5	LMTG	152	16
sub-MU5	LMTG	152	17
sub-MU5	LMTG	152	18
sub-MU5	LMTG	152	19
sub-MU5	LMTG	152	20
sub-MU5	LMTG	152	21
sub-MU5	LMTG	152	22
sub-MU5	LMTG	152	23
sub-MU5	LMTG	152	24
sub-MU5	LMTG	152	25
sub-MU5	LMTG	152	26
sub-MU5	LMTG	152	27
sub-MU5	LMTG	152	29
sub-MU5	LMTG	152	30
sub-MU5	LMTG	152	31
sub-MU5	LMTG	152	32
sub-MU5	LMTG	152	33
sub-MU5	LMTG	152	34
sub-MU5	LMTG	152	35
sub-MU5	LMTG	152	36
sub-MU5	LMTG	152	37
sub-MU5	LMTG	152	39
sub-MU5	LMTG	152	40
sub-MU5	LMTG	152	41
sub-MU5	LMTG	152	42
sub-MU5	LMTG	152	43
sub-MU5	LMTG	152	44
sub-MU5	LMTG	152	45
sub-MU5	LMTG	152	46
sub-MU5	LMTG	152	47
sub-MU5	LMTG	152	48
sub-MU5	LMTG	152	49
sub-MU5	LMTG	152	50
sub-MU5	LMTG	152	51
sub-MU5	LMTG	152	52
sub-MU5	LMTG	152	53
sub-MU5	LMTG	152	54
sub-MU5	LMTG	152	55
sub-MU5	LMTG	152	57
sub-MU5	LMTG	152	58
sub-MU5	LMTG	152	59
sub-MU5	LMTG	152	60
sub-MU5	LMTG	152	61
sub-MU5	LMTG	152	62
sub-MU5	LMTG	152	63
sub-MU5	LMTG	152	64
sub-MU5	LMTG	152	65
sub-MU5	LMTG	152	66
sub-MU5	LMTG	152	67
sub-MU5	LMTG	152	68
sub-MU5	LMTG	152	69
sub-MU5	LMTG	152	71
sub-MU5	LMTG	152	72
sub-MU5	LMTG	152	73
sub-MU5	LMTG	152	74
sub-MU5	LMTG	152	76
sub-MU5	LMTG	152	77
sub-MU5	LMTG	152	78
sub-MU5	LMTG	152	79
sub-MU5	LMTG	152	80
sub-MU5	LMTG	152	81
sub-MU5	LMTG	152	82
sub-MU5	LMTG	152	83
sub-MU5	LMTG	152	84
sub-MU5	LMTG	152	85
sub-MU5	LMTG	152	87
sub-MU5	LMTG	152	88
sub-MU5	LMTG	152	89
sub-MU5	LMTG	152	90
sub-MU5	LMTG	152	91
sub-MU5	LMTG	152	92
sub-MU5	LMTG	152	93
sub-MU5	LMTG	152	94
sub-MU5	LMTG	152	95
sub-MU5	LMTG	152	96
sub-MU5	LMTG	152	97
sub-MU5	LMTG	152	98
sub-MU5	LMTG	152	99
sub-MU5	LMTG	152	100
sub-MU5	LMTG	152	101
sub-MU5	LMTG	152	102
sub-MU5	LMTG	152	103
sub-MU5	LMTG	152	104
sub-MU5	LMTG	152	105
sub-MU5	LMTG	152	106
sub-MU5	LMTG	152	107
sub-MU5	LMTG	152	108
sub-MU5	LMTG	166	1
sub-MU5	LMTG	166	2
sub-MU5	LMTG	166	3
sub-MU5	LMTG	166	4
sub-MU5	LMTG	166	5
sub-MU5	LMTG	166	6
sub-MU5	LMTG	166	7
sub-MU5	LMTG	166	8
sub-MU5	LMTG	166	9
sub-MU5	LMTG	166	10
sub-MU5	LMTG	166	11
sub-MU5	LMTG	166	12
sub-MU5	LMTG	166	13
sub-MU5	LMTG	166	14
sub-MU5	LMTG	166	16
sub-MU5	LMTG	166	17
sub-MU5	LMTG	166	18
sub-MU5	LMTG	166	19
sub-MU5	LMTG	166	20
sub-MU5	LMTG	166	21
sub-MU5	LMTG	166	22
