subject	region	channel	trial_idx
sub-MU1	LMTG	26	1
sub-MU1	LMTG	26	2
sub-MU1	LMTG	26	3
sub-MU1	LMTG	26	6
sub-MU1	LMTG	26	7
sub-MU1	LMTG	26	8
sub-MU1	LMTG	26	9
sub-MU1	LMTG	26	10
sub-MU1	LMTG	26	11
sub-MU1	LMTG	26	12
sub-MU1	LMTG	26	14
sub-MU1	LMTG	26	15
sub-MU1	LMTG	26	16
sub-MU1	LMTG	26	17
sub-MU1	LMTG	26	18
sub-MU1	LMTG	26	19
sub-MU1	LMTG	26	20
sub-MU1	LMTG	26	21
sub-MU1	LMTG	26	22
sub-MU1	LMTG	26	23
sub-MU1	LMTG	26	24
sub-MU1	LMTG	26	25
sub-MU1	LMTG	26	26
sub-MU1	LMTG	26	27
sub-MU1	LMTG	26	28
sub-MU1	LMTG	26	29
sub-MU1	LMTG	26	31
sub-MU1	LMTG	26	33
sub-MU1	LMTG	26	34
sub-MU1	LMTG	26	35
sub-MU1	LMTG	26	36
sub-MU1	LMTG	26	37
sub-MU1	LMTG	26	38
sub-MU1	LMTG	26	39
sub-MU1	LMTG	26	41
sub-MU1	LMTG	26	42
sub-MU1	LMTG	26	43
sub-MU1	LMTG	26	44
sub-MU1	LMTG	26	46
sub-MU1	LMTG	26	47
sub-MU1	LMTG	26	48
sub-MU1	LMTG	26	49
sub-MU1	LMTG	26	50
sub-MU1	LMTG	26	52
sub-MU1	LMTG	26	53
sub-MU1	LMTG	26	54
sub-MU1	LMTG	26	55
sub-MU1	LMTG	26	56
sub-MU1	LMTG	26	57
sub-MU1	LMTG	26	58
sub-MU1	LMTG	26	59
sub-MU1	LMTG	26	60
sub-MU1	LMTG	26	61
sub-MU1	LMTG	26	62
sub-MU1	LMTG	26	63
sub-MU1	LMTG	26	64
sub-MU1	LMTG	26	66
sub-MU1	LMTG	26	67
sub-MU1	LMTG	26	68
sub-MU1	LMTG	26	69
sub-MU1	LMTG	26	70
sub-MU1	LMTG	26	71
sub-MU1	LMTG	26	73
sub-MU1	LMTG	26	74
sub-MU1	LMTG	26	75
sub-MU1	LMTG	26	76
sub-MU1	LMTG	26	79
sub-MU1	LMTG	26	80
sub-MU1	LMTG	26	81
sub-MU1	LMTG	26	82
sub-MU1	LMTG	26	83
sub-MU1	LMTG	26	84
sub-MU1	LMTG	26	85
sub-MU1	LMTG	26	86
sub-MU1	LMTG	26	87
sub-MU1	LMTG	26	88
sub-MU1	LMTG	26	92
sub-MU1	LMTG	26	93
sub-MU1	LMTG	26	94
sub-MU1	LMTG	26	95
sub-MU1	LMTG	26	96
sub-MU1	LMTG	26	97
sub-MU1	LMTG	26	98
sub-MU1	LMTG	26	99
sub-MU1	LMTG	26	100
sub-MU1	LMTG	26	101
sub-MU1	LMTG	26	102
sub-MU1	LMTG	26	103
sub-MU1	LMTG	26	104
sub-MU1	LMTG	26	105
sub-MU1	LMTG	26	107
sub-MU1	LMTG	26	108
sub-MU1	LMTG	27	1
sub-MU1	LMTG	27	2
sub-MU1	LMTG	27	3
sub-MU1	LMTG	27	6
sub-MU1	LMTG	27	7
sub-MU1	LMTG	27	8
sub-MU1	LMTG	27	10
sub-MU1	LMTG	27	11
sub-MU1	LMTG	27	12
sub-MU1	LMTG	27	14
sub-MU1	LMTG	27	15
sub-MU1	LMTG	27	16
sub-MU1	LMTG	27	17
sub-MU1	LMTG	27	18
sub-MU1	LMTG	27	19
sub-MU1	LMTG	27	20
sub-MU1	LMTG	27	21
sub-MU1	LMTG	27	22
sub-MU1	LMTG	27	23
sub-MU1	LMTG	27	24
sub-MU1	LMTG	27	26
sub-MU1	LMTG	27	27
sub-MU1	LMTG	27	28
sub-MU1	LMTG	27	29
sub-MU1	LMTG	27	30
sub-MU1	LMTG	27	31
sub-MU1	LMTG	27	33
sub-MU1	LMTG	27	34
sub-MU1	LMTG	27	35
sub-MU1	LMTG	27	36
sub-MU1	LMTG	27	37
sub-MU1	LMTG	27	38
sub-MU1	LMTG	27	39
sub-MU1	LMTG	27	41
sub-MU1	LMTG	27	42
sub-MU1	LMTG	27	43
sub-MU1	LMTG	27	44
sub-MU1	LMTG	27	46
sub-MU1	LMTG	27	48
sub-MU1	LMTG	27	49
sub-MU1	LMTG	27	50
sub-MU1	LMTG	27	52
sub-MU1	LMTG	27	53
sub-MU1	LMTG	27	54
sub-MU1	LMTG	27	57
sub-MU1	LMTG	27	58
sub-MU1	LMTG	27	60
sub-MU1	LMTG	27	61
sub-MU1	LMTG	27	62
sub-MU1	LMTG	27	63
sub-MU1	LMTG	27	64
sub-MU1	LMTG	27	66
sub-MU1	LMTG	27	67
sub-MU1	LMTG	27	68
sub-MU1	LMTG	27	69
sub-MU1	LMTG	27	70
sub-MU1	LMTG	27	71
sub-MU1	LMTG	27	73
sub-MU1	LMTG	27	74
sub-MU1	LMTG	27	75
sub-MU1	LMTG	27	76
sub-MU1	LMTG	27	79
sub-MU1	LMTG	27	80
sub-MU1	LMTG	27	81
sub-MU1	LMTG	27	82
sub-MU1	LMTG	27	83
sub-MU1	LMTG	27	87
sub-MU1	LMTG	27	88
sub-MU1	LMTG	27	92
sub-MU1	LMTG	27	93
sub-MU1	LMTG	27	94
sub-MU1	LMTG	27	95
sub-MU1	LMTG	27	96
sub-MU1	LMTG	27	97
sub-MU1	LMTG	27	98
sub-MU1	LMTG	27	100
sub-MU1	LMTG	27	101
sub-MU1	LMTG	27	103
sub-MU1	LMTG	27	104
sub-MU1	LMTG	27	105
sub-MU1	LMTG	28	1
sub-MU1	LMTG	28	2
sub-MU1	LMTG	28	3
sub-MU1	LMTG	28	6
sub-MU1	LMTG	28	7
sub-MU1	LMTG	28	8
sub-MU1	LMTG	28	9
sub-MU1	LMTG	28	10
sub-MU1	LMTG	28	11
sub-MU1	LMTG	28	12
sub-MU1	LMTG	28	14
sub-MU1	LMTG	28	15
sub-MU1	LMTG	28	16
sub-MU1	LMTG	28	17
sub-MU1	LMTG	28	18
sub-MU1	LMTG	28	19
sub-MU1	LMTG	28	20
sub-MU1	LMTG	28	21
sub-MU1	LMTG	28	22
sub-MU1	LMTG	28	23
sub-MU1	LMTG	28	24
sub-MU1	LMTG	28	26
sub-MU1	LMTG	28	27
sub-MU1	LMTG	28	28
sub-MU1	LMTG	28	29
sub-MU1	LMTG	28	30
sub-MU1	LMTG	28	31
sub-MU1	LMTG	28	33
sub-MU1	LMTG	28	34
sub-MU1	LMTG	28	35
sub-MU1	LMTG	28	36
sub-MU1	LMTG	28	37
sub-MU1	LMTG	28	38
sub-MU1	LMTG	28	39
sub-MU1	LMTG	28	41
sub-MU1	LMTG	28	42
sub-MU1	LMTG	28	43
sub-MU1	LMTG	28	44
sub-MU1	LMTG	28	46
sub-MU1	LMTG	28	48
sub-MU1	LMTG	28	49
sub-MU1	LMTG	28	50
sub-MU1	LMTG	28	52
sub-MU1	LMTG	28	53
sub-MU1	LMTG	28	54
sub-MU1	LMTG	28	55
sub-MU1	LMTG	28	57
sub-MU1	LMTG	28	58
sub-MU1	LMTG	28	59
sub-MU1	LMTG	28	60
sub-MU1	LMTG	28	61
sub-MU1	LMTG	28	62
sub-MU1	LMTG	28	63
sub-MU1	LMTG	28	64
sub-MU1	LMTG	28	67
sub-MU1	LMTG	28	68
sub-MU1	LMTG	28	69
sub-MU1	LMTG	28	70
sub-MU1	LMTG	28	71
sub-MU1	LMTG	28	73
sub-MU1	LMTG	28	75
sub-MU1	LMTG	28	76
sub-MU1	LMTG	28	79
sub-MU1	LMTG	28	80
sub-MU1	LMTG	28	81
sub-MU1	LMTG	28	82
sub-MU1	LMTG	28	83
sub-MU1	LMTG	28	85
sub-MU1	LMTG	28	87
sub-MU1	LMTG	28	88
sub-MU1	LMTG	28	91
sub-MU1	LMTG	28	92
sub-MU1	LMTG	28	93
sub-MU1	LMTG	28	94
sub-MU1	LMTG	28	95
sub-MU1	LMTG	28	96
sub-MU1	LMTG	28	97
sub-MU1	LMTG	28	98
sub-MU1	LMTG	28	100
sub-MU1	LMTG	28	101
sub-MU1	LMTG	28	102
sub-MU1	LMTG	28	103
sub-MU1	LMTG	28	104
sub-MU1	LMTG	28	105
sub-MU1	LMTG	28	106
sub-MU1	LMTG	29	1
sub-MU1	LMTG	29	2
sub-MU1	LMTG	29	3
sub-MU1	LMTG	29	6
sub-MU1	LMTG	29	7
sub-MU1	LMTG	29	8
sub-MU1	LMTG	29	9
sub-MU1	LMTG	29	10
sub-MU1	LMTG	29	11
sub-MU1	LMTG	29	12
sub-MU1	LMTG	29	14
sub-MU1	LMTG	29	15
sub-MU1	LMTG	29	16
sub-MU1	LMTG	29	17
sub-MU1	LMTG	29	18
sub-MU1	LMTG	29	19
sub-MU1	LMTG	29	20
sub-MU1	LMTG	29	21
sub-MU1	LMTG	29	22
sub-MU1	LMTG	29	23
sub-MU1	LMTG	29	24
sub-MU1	LMTG	29	26
sub-MU1	LMTG	29	27
sub-MU1	LMTG	29	28
sub-MU1	LMTG	29	29
sub-MU1	LMTG	29	31
sub-MU1	LMTG	29	33
sub-MU1	LMTG	29	34
sub-MU1	LMTG	29	35
sub-MU1	LMTG	29	36
sub-MU1	LMTG	29	37
sub-MU1	LMTG	29	38
sub-MU1	LMTG	29	39
sub-MU1	LMTG	29	41
sub-MU1	LMTG	29	42
sub-MU1	LMTG	29	43
sub-MU1	LMTG	29	44
sub-MU1	LMTG	29	46
sub-MU1	LMTG	29	48
sub-MU1	LMTG	29	49
sub-MU1	LMTG	29	50
sub-MU1	LMTG	29	52
sub-MU1	LMTG	29	53
sub-MU1	LMTG	29	54
