name	type	units	low_cutoff	high_cutoff	sampling_frequency	modulated	n_trials	padding
LMTG-7	EEG	uV	n/a	n/a	1000	1	139	324900
LMTG-14	EEG	uV	n/a	n/a	1000	1	118	461358
RMTG-52	EEG	uV	n/a	n/a	1000	1	135	350892
RMTG-53	EEG	uV	n/a	n/a	1000	1	189	0
RMTG-54	EEG	uV	n/a	n/a	1000	1	107	532836
RMTG-59	EEG	uV	n/a	n/a	1000	1	162	175446
RMTG-60	EEG	uV	n/a	n/a	1000	1	99	584820
RMTG-63	EEG	uV	n/a	n/a	1000	0	91	636804
RMFG-24	EEG	uV	n/a	n/a	1000	0	144	292410
RMFG-25	EEG	uV	n/a	n/a	1000	1	125	415872
RMFG-26	EEG	uV	n/a	n/a	1000	1	130	383382
RMFG-27	EEG	uV	n/a	n/a	1000	1	150	253422
RMFG-41	EEG	uV	n/a	n/a	1000	1	117	467856
RMFG-42	EEG	uV	n/a	n/a	1000	1	105	545832
