channel	perf1	perf2	perf3
6	1	1	1
6	1	1	1
6	1	1	0
6	1	1	1
6	1	1	0
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	0	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	0	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	0
6	1	1	1
6	1	1	1
6	1	1	1
6	1	0	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	0	1	1
6	1	1	1
6	1	1	1
6	1	1	0
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	0
6	1	1	1
6	1	0	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	0
6	1	1	1
6	0	0	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	1	1	1
6	0	1	1
6	1	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	1
7	1	1	0
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	0	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	1
7	1	1	1
7	1	1	1
7	1	0	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	0	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	1
7	1	0	1
7	1	0	0
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	1
7	1	0	1
7	1	0	0
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	1
7	1	1	1
7	1	1	1
7	0	0	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	0
7	1	1	0
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	0	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	1
8	1	1	1
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	0	1	1
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	1
8	1	1	1
8	0	0	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	0
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	0	1	1
8	1	1	1
8	1	1	1
65	1	1	1
65	1	1	1
65	1	1	0
65	1	1	1
