channel	perf1	perf2	perf3
18	0	0	0
18	1	1	1
18	1	0	0
18	1	0	1
18	1	0	1
18	1	0	1
18	1	1	1
18	0	1	1
18	1	0	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	1	0
18	1	0	1
18	0	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	0	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	0
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	0	0	0
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	0	1	0
18	1	1	1
18	0	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	0	1	1
18	1	1	1
18	1	1	1
18	0	0	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	0	0	0
18	1	1	0
18	1	1	1
18	1	1	1
18	0	1	1
18	1	1	1
18	0	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	0	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	0
18	1	1	1
18	1	1	0
18	1	1	1
18	0	1	0
18	1	1	1
18	1	1	0
18	1	1	1
18	1	0	1
18	1	1	0
18	1	0	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	0	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	0	1	1
18	1	1	1
18	0	1	0
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	0	1
18	0	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	0	0
49	0	0	0
49	1	1	1
49	1	0	0
49	1	0	1
49	1	0	1
49	1	0	1
49	1	1	1
49	0	1	1
49	1	0	0
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	0	1
49	1	1	0
49	1	0	1
49	0	1	1
49	1	1	0
49	1	1	1
49	1	1	1
49	1	1	1
49	0	1	1
49	1	1	1
49	1	1	1
49	1	1	0
49	1	1	0
49	1	1	1
49	1	1	0
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	0	1	1
49	1	1	1
49	1	1	1
49	0	0	0
49	1	1	1
49	1	1	0
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	0	1	1
49	1	0	1
49	1	1	1
49	1	1	1
49	0	1	1
49	1	1	1
49	1	1	1
49	0	0	0
49	1	1	1
49	1	1	1
49	1	1	1
49	1	0	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	0	0	0
49	1	1	0
49	1	1	1
49	1	1	1
49	0	1	1
49	1	1	1
49	0	1	1
49	1	1	1
49	1	1	1
49	1	1	0
49	0	1	1
49	1	1	1
49	1	1	1
49	1	1	0
49	1	1	0
49	1	1	1
49	1	1	0
49	1	1	1
49	0	1	0
49	1	1	1
49	1	1	0
49	1	1	1
49	1	0	1
49	1	1	0
49	1	0	1
49	1	0	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	0	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	0
49	1	1	1
49	1	1	1
49	1	1	1
49	0	1	1
49	1	1	1
49	1	1	1
49	1	1	0
49	1	0	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	0	1
49	1	1	1
49	1	1	1
49	1	1	1
49	0	1	1
49	1	1	1
49	0	1	0
49	1	1	1
49	1	1	0
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	0
49	1	1	1
49	1	1	1
49	1	0	1
49	0	1	1
49	1	0	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	0	0
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	1
49	1	1	0
49	1	1	1
49	1	0	0
50	0	0	0
50	1	1	1
50	1	0	0
50	1	0	1
50	1	0	1
50	1	0	1
50	0	1	1
50	1	0	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	0	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	0
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	0	0
50	1	1	0
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	0	1	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	0	1	0
50	1	1	1
50	1	1	0
50	1	1	1
50	1	0	1
50	1	0	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	0	1
50	0	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	0	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	0	0
57	1	1	1
57	1	0	0
57	1	0	1
57	1	0	1
57	1	1	1
57	0	1	1
57	1	0	0
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	0
57	1	0	1
57	0	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	0	1	1
57	1	1	1
57	1	1	0
57	1	1	0
57	1	1	1
57	1	1	0
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	0	1	1
57	1	1	1
57	1	1	1
57	0	0	0
57	1	1	1
57	1	1	1
57	1	1	0
57	1	1	1
57	1	1	1
57	1	1	1
57	0	1	0
57	1	1	1
57	0	1	1
57	1	0	1
57	1	1	1
57	0	1	1
57	1	1	1
57	1	1	1
57	0	0	0
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	0	0	0
57	1	1	0
57	1	1	1
57	1	1	1
57	0	1	1
57	1	1	1
57	0	1	1
57	1	1	1
57	1	1	1
57	1	1	0
57	0	1	1
57	1	1	1
57	1	1	1
57	1	1	0
57	1	1	0
57	1	1	1
57	1	1	0
57	1	1	1
57	1	1	0
57	1	1	1
57	1	0	1
57	1	0	1
57	1	0	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	0	1
57	1	1	0
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	0
57	1	1	1
57	1	1	1
57	0	1	1
57	1	1	1
57	1	1	1
57	1	1	0
57	1	0	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	0	1
57	1	1	1
57	1	1	1
57	0	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
57	1	1	1
