channel	perf1	perf2	perf3
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	1	1
16	0	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	0	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	0	0	0
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	0	1
16	1	1	1
16	0	1	1
16	1	1	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	0	1	1
16	1	1	1
16	1	1	1
16	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	1	1
17	0	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	0	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	0	0	0
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	1	1
17	1	1	1
17	1	0	1
17	1	1	1
17	0	1	1
17	1	0	0
17	1	1	1
17	1	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	0	1	1
17	1	1	1
17	1	1	1
17	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	0	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	0	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	0	0	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	1	1
18	0	1	1
18	1	0	0
18	1	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	0	1	1
18	1	1	1
18	1	1	1
18	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	1	1
23	0	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	0	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	0	1
23	1	1	1
23	0	1	1
23	1	0	0
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	1	1
24	1	1	1
24	0	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	1	1
24	1	1	1
24	1	1	0
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	0	0
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	0	1	1
24	1	0	0
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	0
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	0	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	0	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	0
25	1	1	1
25	1	1	1
25	0	0	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	0	1	1
25	1	1	1
25	1	1	0
25	1	1	1
25	1	0	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	0	0	0
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	0
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	0	1
25	1	1	1
25	0	1	1
25	1	0	0
25	1	1	1
25	1	1	1
25	1	0	1
25	1	1	1
25	1	1	1
25	1	1	0
25	0	1	1
25	1	1	1
25	1	1	1
25	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	0
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	0	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	0	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	0
97	1	1	1
97	1	1	1
97	0	0	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	0	1	1
97	1	1	1
97	1	1	0
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	0	0	0
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	0
97	1	1	1
97	1	1	1
97	1	1	1
97	1	0	1
97	1	1	1
97	0	1	1
97	1	0	0
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	1
97	1	1	0
97	0	1	1
97	1	1	1
97	1	1	1
97	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	0
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	0	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	0	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	0
98	1	1	1
98	1	1	1
98	0	0	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	0	1	1
98	1	1	1
98	1	1	0
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	0	0	0
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	0
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	0	1	1
98	1	0	0
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	1
98	1	1	0
98	0	1	1
98	1	1	1
98	1	1	1
98	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	0
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	0	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	0	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	0
99	1	1	1
99	1	1	1
99	0	0	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	0	1	1
99	1	1	1
99	1	1	0
99	1	1	1
99	1	0	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	0	0	0
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	0
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	0	0
99	1	1	1
99	1	1	1
99	1	0	1
99	1	1	1
99	1	1	1
99	1	1	1
99	1	1	0
99	0	1	1
99	1	1	1
99	1	1	1
99	1	1	1
