subject	region	channel	trial_idx
sub-MU4	LMTG	33	1
sub-MU4	LMTG	33	2
sub-MU4	LMTG	33	3
sub-MU4	LMTG	33	4
sub-MU4	LMTG	33	6
sub-MU4	LMTG	33	7
sub-MU4	LMTG	33	9
sub-MU4	LMTG	33	10
sub-MU4	LMTG	33	11
sub-MU4	LMTG	33	12
sub-MU4	LMTG	33	13
sub-MU4	LMTG	33	14
sub-MU4	LMTG	33	15
sub-MU4	LMTG	33	16
sub-MU4	LMTG	33	17
sub-MU4	LMTG	33	18
sub-MU4	LMTG	33	19
sub-MU4	LMTG	33	20
sub-MU4	LMTG	33	22
sub-MU4	LMTG	33	23
sub-MU4	LMTG	33	26
sub-MU4	LMTG	33	27
sub-MU4	LMTG	33	28
sub-MU4	LMTG	33	29
sub-MU4	LMTG	33	30
sub-MU4	LMTG	33	31
sub-MU4	LMTG	33	32
sub-MU4	LMTG	33	34
sub-MU4	LMTG	33	37
sub-MU4	LMTG	33	38
sub-MU4	LMTG	33	39
sub-MU4	LMTG	33	43
sub-MU4	LMTG	33	44
sub-MU4	LMTG	33	45
sub-MU4	LMTG	33	46
sub-MU4	LMTG	33	48
sub-MU4	LMTG	33	49
sub-MU4	LMTG	33	51
sub-MU4	LMTG	33	52
sub-MU4	LMTG	33	53
sub-MU4	LMTG	33	54
sub-MU4	LMTG	33	55
sub-MU4	LMTG	33	56
sub-MU4	LMTG	33	57
sub-MU4	LMTG	33	59
sub-MU4	LMTG	33	60
sub-MU4	LMTG	33	61
sub-MU4	LMTG	33	62
sub-MU4	LMTG	33	64
sub-MU4	LMTG	33	66
sub-MU4	LMTG	33	67
sub-MU4	LMTG	33	68
sub-MU4	LMTG	33	69
sub-MU4	LMTG	33	70
sub-MU4	LMTG	33	71
sub-MU4	LMTG	33	72
sub-MU4	LMTG	33	75
sub-MU4	LMTG	33	76
sub-MU4	LMTG	33	77
sub-MU4	LMTG	33	78
sub-MU4	LMTG	33	79
sub-MU4	LMTG	33	80
sub-MU4	LMTG	33	85
sub-MU4	LMTG	33	86
sub-MU4	LMTG	33	87
sub-MU4	LMTG	33	89
sub-MU4	LMTG	33	91
sub-MU4	LMTG	33	92
sub-MU4	LMTG	33	93
sub-MU4	LMTG	33	95
sub-MU4	LMTG	33	96
sub-MU4	LMTG	33	97
sub-MU4	LMTG	33	99
sub-MU4	LMTG	33	100
sub-MU4	LMTG	33	101
sub-MU4	LMTG	33	102
sub-MU4	LMTG	33	104
sub-MU4	LMTG	33	106
sub-MU4	LMTG	33	107
sub-MU4	LMTG	33	108
sub-MU4	LMTG	34	1
sub-MU4	LMTG	34	3
sub-MU4	LMTG	34	4
sub-MU4	LMTG	34	6
sub-MU4	LMTG	34	7
sub-MU4	LMTG	34	9
sub-MU4	LMTG	34	10
sub-MU4	LMTG	34	12
sub-MU4	LMTG	34	14
sub-MU4	LMTG	34	15
sub-MU4	LMTG	34	16
sub-MU4	LMTG	34	17
sub-MU4	LMTG	34	18
sub-MU4	LMTG	34	19
sub-MU4	LMTG	34	20
sub-MU4	LMTG	34	22
sub-MU4	LMTG	34	23
sub-MU4	LMTG	34	26
sub-MU4	LMTG	34	27
sub-MU4	LMTG	34	28
sub-MU4	LMTG	34	29
sub-MU4	LMTG	34	30
sub-MU4	LMTG	34	32
sub-MU4	LMTG	34	34
sub-MU4	LMTG	34	37
sub-MU4	LMTG	34	42
sub-MU4	LMTG	34	43
sub-MU4	LMTG	34	44
sub-MU4	LMTG	34	45
sub-MU4	LMTG	34	46
sub-MU4	LMTG	34	47
sub-MU4	LMTG	34	48
sub-MU4	LMTG	34	49
sub-MU4	LMTG	34	50
sub-MU4	LMTG	34	51
sub-MU4	LMTG	34	52
sub-MU4	LMTG	34	54
sub-MU4	LMTG	34	55
sub-MU4	LMTG	34	56
sub-MU4	LMTG	34	59
sub-MU4	LMTG	34	60
sub-MU4	LMTG	34	61
sub-MU4	LMTG	34	62
sub-MU4	LMTG	34	64
sub-MU4	LMTG	34	66
sub-MU4	LMTG	34	67
sub-MU4	LMTG	34	68
sub-MU4	LMTG	34	70
sub-MU4	LMTG	34	71
sub-MU4	LMTG	34	72
sub-MU4	LMTG	34	73
sub-MU4	LMTG	34	74
sub-MU4	LMTG	34	78
sub-MU4	LMTG	34	79
sub-MU4	LMTG	34	80
sub-MU4	LMTG	34	83
sub-MU4	LMTG	34	84
sub-MU4	LMTG	34	85
sub-MU4	LMTG	34	86
sub-MU4	LMTG	34	87
sub-MU4	LMTG	34	89
sub-MU4	LMTG	34	91
sub-MU4	LMTG	34	92
sub-MU4	LMTG	34	93
sub-MU4	LMTG	34	95
sub-MU4	LMTG	34	96
sub-MU4	LMTG	34	97
sub-MU4	LMTG	34	99
sub-MU4	LMTG	34	100
sub-MU4	LMTG	34	101
sub-MU4	LMTG	34	102
sub-MU4	LMTG	34	103
sub-MU4	LMTG	34	104
sub-MU4	LMTG	34	105
sub-MU4	LMTG	34	106
sub-MU4	LMTG	34	108
sub-MU4	RMTG	139	1
sub-MU4	RMTG	139	2
sub-MU4	RMTG	139	3
sub-MU4	RMTG	139	4
sub-MU4	RMTG	139	5
sub-MU4	RMTG	139	6
sub-MU4	RMTG	139	8
sub-MU4	RMTG	139	11
sub-MU4	RMTG	139	13
sub-MU4	RMTG	139	14
sub-MU4	RMTG	139	15
sub-MU4	RMTG	139	17
sub-MU4	RMTG	139	18
sub-MU4	RMTG	139	20
sub-MU4	RMTG	139	21
sub-MU4	RMTG	139	22
sub-MU4	RMTG	139	23
sub-MU4	RMTG	139	24
sub-MU4	RMTG	139	26
sub-MU4	RMTG	139	27
sub-MU4	RMTG	139	29
sub-MU4	RMTG	139	30
sub-MU4	RMTG	139	31
sub-MU4	RMTG	139	32
sub-MU4	RMTG	139	33
sub-MU4	RMTG	139	34
sub-MU4	RMTG	139	37
sub-MU4	RMTG	139	38
sub-MU4	RMTG	139	39
sub-MU4	RMTG	139	40
sub-MU4	RMTG	139	42
sub-MU4	RMTG	139	43
sub-MU4	RMTG	139	44
sub-MU4	RMTG	139	45
sub-MU4	RMTG	139	46
sub-MU4	RMTG	139	47
sub-MU4	RMTG	139	48
sub-MU4	RMTG	139	51
sub-MU4	RMTG	139	53
sub-MU4	RMTG	139	55
sub-MU4	RMTG	139	56
sub-MU4	RMTG	139	57
sub-MU4	RMTG	139	58
sub-MU4	RMTG	139	60
sub-MU4	RMTG	139	61
sub-MU4	RMTG	139	62
sub-MU4	RMTG	139	63
sub-MU4	RMTG	139	66
sub-MU4	RMTG	139	68
sub-MU4	RMTG	139	69
sub-MU4	RMTG	139	70
sub-MU4	RMTG	139	72
sub-MU4	RMTG	139	73
sub-MU4	RMTG	139	74
sub-MU4	RMTG	139	75
sub-MU4	RMTG	139	76
sub-MU4	RMTG	139	78
sub-MU4	RMTG	139	79
sub-MU4	RMTG	139	80
sub-MU4	RMTG	139	81
sub-MU4	RMTG	139	82
sub-MU4	RMTG	139	83
sub-MU4	RMTG	139	84
sub-MU4	RMTG	139	85
sub-MU4	RMTG	139	86
sub-MU4	RMTG	139	88
sub-MU4	RMTG	139	90
sub-MU4	RMTG	139	95
sub-MU4	RMTG	139	97
sub-MU4	RMTG	139	98
sub-MU4	RMTG	139	101
sub-MU4	RMTG	139	103
sub-MU4	RMTG	139	104
sub-MU4	RMTG	139	105
sub-MU4	RMTG	139	108
sub-MU4	RMTG	140	1
sub-MU4	RMTG	140	2
sub-MU4	RMTG	140	3
sub-MU4	RMTG	140	4
sub-MU4	RMTG	140	5
sub-MU4	RMTG	140	6
sub-MU4	RMTG	140	8
sub-MU4	RMTG	140	9
sub-MU4	RMTG	140	11
sub-MU4	RMTG	140	13
sub-MU4	RMTG	140	14
sub-MU4	RMTG	140	15
sub-MU4	RMTG	140	17
sub-MU4	RMTG	140	18
sub-MU4	RMTG	140	20
sub-MU4	RMTG	140	21
sub-MU4	RMTG	140	22
sub-MU4	RMTG	140	23
sub-MU4	RMTG	140	26
sub-MU4	RMTG	140	27
sub-MU4	RMTG	140	29
sub-MU4	RMTG	140	30
sub-MU4	RMTG	140	31
sub-MU4	RMTG	140	32
sub-MU4	RMTG	140	33
sub-MU4	RMTG	140	34
sub-MU4	RMTG	140	37
sub-MU4	RMTG	140	38
sub-MU4	RMTG	140	39
sub-MU4	RMTG	140	40
sub-MU4	RMTG	140	42
sub-MU4	RMTG	140	43
sub-MU4	RMTG	140	44
sub-MU4	RMTG	140	45
sub-MU4	RMTG	140	46
sub-MU4	RMTG	140	47
sub-MU4	RMTG	140	48
sub-MU4	RMTG	140	51
sub-MU4	RMTG	140	53
sub-MU4	RMTG	140	55
sub-MU4	RMTG	140	56
sub-MU4	RMTG	140	57
sub-MU4	RMTG	140	58
sub-MU4	RMTG	140	60
sub-MU4	RMTG	140	61
sub-MU4	RMTG	140	62
sub-MU4	RMTG	140	63
sub-MU4	RMTG	140	66
sub-MU4	RMTG	140	68
sub-MU4	RMTG	140	69
sub-MU4	RMTG	140	70
sub-MU4	RMTG	140	72
sub-MU4	RMTG	140	73
sub-MU4	RMTG	140	74
sub-MU4	RMTG	140	75
sub-MU4	RMTG	140	76
sub-MU4	RMTG	140	78
sub-MU4	RMTG	140	79
sub-MU4	RMTG	140	80
sub-MU4	RMTG	140	81
sub-MU4	RMTG	140	82
sub-MU4	RMTG	140	83
sub-MU4	RMTG	140	84
sub-MU4	RMTG	140	85
sub-MU4	RMTG	140	86
sub-MU4	RMTG	140	88
sub-MU4	RMTG	140	89
sub-MU4	RMTG	140	90
sub-MU4	RMTG	140	94
sub-MU4	RMTG	140	95
sub-MU4	RMTG	140	97
sub-MU4	RMTG	140	98
sub-MU4	RMTG	140	101
sub-MU4	RMTG	140	103
sub-MU4	RMTG	140	104
sub-MU4	RMTG	140	105
sub-MU4	RMTG	140	108
sub-MU4	RMTG	141	1
sub-MU4	RMTG	141	3
sub-MU4	RMTG	141	4
sub-MU4	RMTG	141	5
sub-MU4	RMTG	141	6
sub-MU4	RMTG	141	8
sub-MU4	RMTG	141	9
sub-MU4	RMTG	141	10
sub-MU4	RMTG	141	11
sub-MU4	RMTG	141	14
sub-MU4	RMTG	141	15
sub-MU4	RMTG	141	17
sub-MU4	RMTG	141	18
sub-MU4	RMTG	141	20
sub-MU4	RMTG	141	21
sub-MU4	RMTG	141	22
sub-MU4	RMTG	141	23
sub-MU4	RMTG	141	26
sub-MU4	RMTG	141	27
sub-MU4	RMTG	141	29
sub-MU4	RMTG	141	30
sub-MU4	RMTG	141	32
sub-MU4	RMTG	141	33
sub-MU4	RMTG	141	34
sub-MU4	RMTG	141	36
sub-MU4	RMTG	141	37
sub-MU4	RMTG	141	40
sub-MU4	RMTG	141	42
sub-MU4	RMTG	141	43
sub-MU4	RMTG	141	44
sub-MU4	RMTG	141	45
sub-MU4	RMTG	141	46
sub-MU4	RMTG	141	47
sub-MU4	RMTG	141	48
sub-MU4	RMTG	141	51
sub-MU4	RMTG	141	52
sub-MU4	RMTG	141	53
sub-MU4	RMTG	141	55
sub-MU4	RMTG	141	56
sub-MU4	RMTG	141	57
sub-MU4	RMTG	141	58
sub-MU4	RMTG	141	59
sub-MU4	RMTG	141	61
sub-MU4	RMTG	141	62
sub-MU4	RMTG	141	63
sub-MU4	RMTG	141	64
sub-MU4	RMTG	141	66
sub-MU4	RMTG	141	67
sub-MU4	RMTG	141	68
sub-MU4	RMTG	141	70
sub-MU4	RMTG	141	72
sub-MU4	RMTG	141	73
sub-MU4	RMTG	141	74
sub-MU4	RMTG	141	78
sub-MU4	RMTG	141	79
sub-MU4	RMTG	141	80
sub-MU4	RMTG	141	82
sub-MU4	RMTG	141	83
sub-MU4	RMTG	141	84
sub-MU4	RMTG	141	85
sub-MU4	RMTG	141	86
sub-MU4	RMTG	141	88
sub-MU4	RMTG	141	89
sub-MU4	RMTG	141	93
sub-MU4	RMTG	141	94
sub-MU4	RMTG	141	95
sub-MU4	RMTG	141	96
sub-MU4	RMTG	141	97
sub-MU4	RMTG	141	99
sub-MU4	RMTG	141	100
sub-MU4	RMTG	141	101
sub-MU4	RMTG	141	103
sub-MU4	RMTG	141	104
sub-MU4	RMTG	141	105
sub-MU4	RMTG	141	108
sub-MU4	LMFG	67	1
sub-MU4	LMFG	67	2
sub-MU4	LMFG	67	3
sub-MU4	LMFG	67	4
sub-MU4	LMFG	67	5
sub-MU4	LMFG	67	6
sub-MU4	LMFG	67	8
sub-MU4	LMFG	67	9
sub-MU4	LMFG	67	10
sub-MU4	LMFG	67	12
sub-MU4	LMFG	67	18
sub-MU4	LMFG	67	19
sub-MU4	LMFG	67	20
sub-MU4	LMFG	67	22
sub-MU4	LMFG	67	23
sub-MU4	LMFG	67	24
sub-MU4	LMFG	67	25
sub-MU4	LMFG	67	27
sub-MU4	LMFG	67	28
sub-MU4	LMFG	67	30
sub-MU4	LMFG	67	31
sub-MU4	LMFG	67	32
sub-MU4	LMFG	67	34
sub-MU4	LMFG	67	35
sub-MU4	LMFG	67	39
sub-MU4	LMFG	67	42
sub-MU4	LMFG	67	43
sub-MU4	LMFG	67	47
sub-MU4	LMFG	67	48
sub-MU4	LMFG	67	50
sub-MU4	LMFG	67	53
sub-MU4	LMFG	67	54
sub-MU4	LMFG	67	55
sub-MU4	LMFG	67	56
sub-MU4	LMFG	67	59
sub-MU4	LMFG	67	60
sub-MU4	LMFG	67	62
sub-MU4	LMFG	67	66
sub-MU4	LMFG	67	69
sub-MU4	LMFG	67	70
sub-MU4	LMFG	67	71
sub-MU4	LMFG	67	72
sub-MU4	LMFG	67	74
sub-MU4	LMFG	67	76
sub-MU4	LMFG	67	78
sub-MU4	LMFG	67	81
sub-MU4	LMFG	67	82
sub-MU4	LMFG	67	83
sub-MU4	LMFG	67	86
sub-MU4	LMFG	67	88
sub-MU4	LMFG	67	89
sub-MU4	LMFG	67	90
sub-MU4	LMFG	67	92
sub-MU4	LMFG	67	93
sub-MU4	LMFG	67	97
sub-MU4	LMFG	67	98
sub-MU4	LMFG	67	99
sub-MU4	LMFG	67	104
sub-MU4	LMFG	67	105
sub-MU4	LMFG	67	106
sub-MU4	LMFG	67	107
sub-MU4	LMFG	89	1
sub-MU4	LMFG	89	2
sub-MU4	LMFG	89	3
sub-MU4	LMFG	89	4
sub-MU4	LMFG	89	5
sub-MU4	LMFG	89	6
sub-MU4	LMFG	89	8
sub-MU4	LMFG	89	9
sub-MU4	LMFG	89	10
sub-MU4	LMFG	89	12
sub-MU4	LMFG	89	13
sub-MU4	LMFG	89	15
sub-MU4	LMFG	89	17
sub-MU4	LMFG	89	18
sub-MU4	LMFG	89	19
sub-MU4	LMFG	89	22
sub-MU4	LMFG	89	25
sub-MU4	LMFG	89	30
sub-MU4	LMFG	89	31
sub-MU4	LMFG	89	33
sub-MU4	LMFG	89	35
sub-MU4	LMFG	89	36
sub-MU4	LMFG	89	39
sub-MU4	LMFG	89	40
sub-MU4	LMFG	89	41
sub-MU4	LMFG	89	42
sub-MU4	LMFG	89	43
sub-MU4	LMFG	89	45
sub-MU4	LMFG	89	46
sub-MU4	LMFG	89	47
sub-MU4	LMFG	89	48
sub-MU4	LMFG	89	50
sub-MU4	LMFG	89	53
sub-MU4	LMFG	89	54
sub-MU4	LMFG	89	55
sub-MU4	LMFG	89	57
sub-MU4	LMFG	89	58
sub-MU4	LMFG	89	59
sub-MU4	LMFG	89	60
sub-MU4	LMFG	89	61
sub-MU4	LMFG	89	63
sub-MU4	LMFG	89	66
sub-MU4	LMFG	89	67
sub-MU4	LMFG	89	68
sub-MU4	LMFG	89	70
sub-MU4	LMFG	89	71
sub-MU4	LMFG	89	72
sub-MU4	LMFG	89	74
sub-MU4	LMFG	89	76
sub-MU4	LMFG	89	81
sub-MU4	LMFG	89	82
sub-MU4	LMFG	89	85
sub-MU4	LMFG	89	86
sub-MU4	LMFG	89	88
sub-MU4	LMFG	89	89
sub-MU4	LMFG	89	93
sub-MU4	LMFG	89	94
sub-MU4	LMFG	89	95
sub-MU4	LMFG	89	97
sub-MU4	LMFG	89	98
sub-MU4	LMFG	89	99
sub-MU4	LMFG	89	100
sub-MU4	LMFG	89	102
sub-MU4	LMFG	89	103
sub-MU4	LMFG	89	104
sub-MU4	LMFG	89	105
sub-MU4	LMFG	89	107
sub-MU4	LMFG	89	108
sub-MU4	LMFG	102	1
sub-MU4	LMFG	102	2
sub-MU4	LMFG	102	3
sub-MU4	LMFG	102	4
sub-MU4	LMFG	102	5
sub-MU4	LMFG	102	6
sub-MU4	LMFG	102	7
sub-MU4	LMFG	102	8
sub-MU4	LMFG	102	9
sub-MU4	LMFG	102	10
sub-MU4	LMFG	102	11
sub-MU4	LMFG	102	12
sub-MU4	LMFG	102	13
sub-MU4	LMFG	102	14
sub-MU4	LMFG	102	15
sub-MU4	LMFG	102	18
sub-MU4	LMFG	102	19
sub-MU4	LMFG	102	21
sub-MU4	LMFG	102	22
sub-MU4	LMFG	102	23
sub-MU4	LMFG	102	24
sub-MU4	LMFG	102	27
sub-MU4	LMFG	102	28
sub-MU4	LMFG	102	31
sub-MU4	LMFG	102	32
sub-MU4	LMFG	102	33
sub-MU4	LMFG	102	34
sub-MU4	LMFG	102	36
sub-MU4	LMFG	102	37
sub-MU4	LMFG	102	39
sub-MU4	LMFG	102	40
sub-MU4	LMFG	102	41
sub-MU4	LMFG	102	42
sub-MU4	LMFG	102	43
sub-MU4	LMFG	102	44
sub-MU4	LMFG	102	45
sub-MU4	LMFG	102	46
sub-MU4	LMFG	102	47
sub-MU4	LMFG	102	48
sub-MU4	LMFG	102	50
sub-MU4	LMFG	102	51
sub-MU4	LMFG	102	52
sub-MU4	LMFG	102	53
sub-MU4	LMFG	102	54
sub-MU4	LMFG	102	55
sub-MU4	LMFG	102	56
sub-MU4	LMFG	102	57
sub-MU4	LMFG	102	58
sub-MU4	LMFG	102	59
sub-MU4	LMFG	102	61
sub-MU4	LMFG	102	62
sub-MU4	LMFG	102	66
sub-MU4	LMFG	102	67
sub-MU4	LMFG	102	68
sub-MU4	LMFG	102	69
sub-MU4	LMFG	102	70
sub-MU4	LMFG	102	72
sub-MU4	LMFG	102	73
sub-MU4	LMFG	102	74
sub-MU4	LMFG	102	75
sub-MU4	LMFG	102	76
sub-MU4	LMFG	102	77
sub-MU4	LMFG	102	80
sub-MU4	LMFG	102	82
sub-MU4	LMFG	102	83
sub-MU4	LMFG	102	84
sub-MU4	LMFG	102	85
sub-MU4	LMFG	102	86
sub-MU4	LMFG	102	87
sub-MU4	LMFG	102	88
sub-MU4	LMFG	102	89
sub-MU4	LMFG	102	93
sub-MU4	LMFG	102	94
sub-MU4	LMFG	102	95
sub-MU4	LMFG	102	96
sub-MU4	LMFG	102	97
sub-MU4	LMFG	102	98
sub-MU4	LMFG	102	99
sub-MU4	LMFG	102	100
sub-MU4	LMFG	102	101
sub-MU4	LMFG	102	102
sub-MU4	LMFG	102	103
sub-MU4	LMFG	102	104
sub-MU4	LMFG	102	105
sub-MU4	LMFG	102	107
sub-MU4	LMFG	102	108
sub-MU4	LMFG	103	1
sub-MU4	LMFG	103	2
sub-MU4	LMFG	103	3
sub-MU4	LMFG	103	4
sub-MU4	LMFG	103	5
sub-MU4	LMFG	103	6
sub-MU4	LMFG	103	7
sub-MU4	LMFG	103	8
sub-MU4	LMFG	103	9
