channel	perf1	perf2	perf3
8	1	1	1
8	1	1	1
8	1	1	0
8	1	0	1
8	1	0	1
8	1	1	0
8	1	1	1
8	1	1	1
8	1	1	0
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	0	1
8	1	0	1
8	1	1	1
8	1	0	1
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	0
8	1	1	1
8	0	1	1
8	1	1	1
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	0	1	1
8	1	1	1
8	1	1	1
8	1	1	1
8	1	0	1
8	1	1	1
8	1	1	1
8	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	0	1
16	1	1	0
16	1	1	0
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	1	0
16	1	1	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	0	1
16	1	1	1
16	1	0	1
16	1	1	1
16	0	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	0	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	0
16	0	1	1
16	1	1	1
16	1	1	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	0	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	0	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	1
16	1	1	0
16	1	1	1
16	1	1	1
16	1	0	1
16	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	0	1
17	1	1	0
17	1	1	0
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	1	0
17	1	1	1
17	1	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	0	1
17	1	0	1
17	1	1	1
17	1	0	1
17	1	1	1
17	0	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	0	1
17	1	0	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	1	0
17	0	1	1
17	1	1	1
17	1	1	1
17	1	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	0	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	0	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	1
17	1	1	0
17	1	1	1
17	1	1	1
17	1	0	1
17	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	0	1
18	1	0	1
18	1	1	0
18	1	1	0
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	0
18	1	1	1
18	1	1	0
18	1	1	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	1	1
18	1	0	1
18	1	0	1
18	1	1	1
18	1	1	1
18	1	0	1
18	0	1	1
18	1	0	1
