channel	perf1	perf2	perf3
23	0	0	0
23	0	0	0
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	0	0
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	0	0
23	1	0	0
23	1	1	0
23	1	1	0
23	0	0	1
23	0	0	0
23	1	1	1
23	1	1	1
23	0	0	1
23	1	1	1
23	0	0	0
23	1	0	0
23	1	0	0
23	0	0	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	0	1	1
23	1	1	0
23	1	1	1
23	0	0	0
23	1	1	1
23	0	1	1
23	1	1	0
23	1	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	0
23	1	1	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	0	0
23	1	1	1
23	1	1	1
23	1	1	0
23	0	1	1
23	0	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	0	1	1
23	0	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	1	1
23	1	0	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	0	1
23	1	0	0
23	0	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	0	0
23	0	0	0
23	0	0	1
23	1	1	1
23	1	1	1
23	0	1	0
23	1	1	1
23	0	0	1
23	1	1	1
23	1	1	0
23	1	0	0
23	1	0	1
23	0	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	0	0
23	1	0	1
23	1	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	0	1
23	0	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	0	1
23	1	1	1
23	0	1	1
23	1	0	1
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	1
23	0	1	1
23	0	1	0
23	1	1	1
23	1	1	0
23	0	1	0
23	1	0	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	0	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	0
23	1	1	1
23	1	0	1
23	0	0	1
23	1	1	0
23	1	1	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	1
23	1	0	1
23	1	1	1
23	1	1	1
23	1	1	1
23	0	1	1
23	1	1	1
24	0	0	0
24	0	0	0
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	1	1
24	1	1	1
24	1	1	0
24	1	0	0
24	0	0	1
24	0	0	0
24	1	1	1
24	0	0	1
24	0	0	0
24	1	0	0
24	1	0	0
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	0	1	1
24	1	1	1
24	0	0	0
24	0	1	1
24	1	1	0
24	1	1	1
24	1	1	1
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	0	0
24	1	1	1
24	1	1	1
24	1	1	0
24	0	1	0
24	1	1	1
24	1	1	1
24	1	1	1
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	1	1
24	0	1	1
24	0	1	0
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	0	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	0	0
24	0	1	0
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	0	0
24	0	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	1	0
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	0	1
24	1	1	1
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	1	1
24	1	1	1
24	0	1	1
24	0	1	0
24	1	1	1
24	1	1	0
24	1	0	1
24	1	1	1
24	1	1	0
24	1	1	1
24	1	1	1
24	1	1	0
24	0	1	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	1	0
24	1	1	1
24	1	0	1
24	0	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	1	0	1
24	1	1	1
24	1	1	1
24	1	1	1
24	0	1	1
24	1	1	1
25	0	0	0
25	0	0	0
25	1	0	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	0	0
25	1	0	1
25	1	1	1
25	1	1	1
25	1	1	0
25	1	1	1
25	0	1	1
25	1	1	1
25	1	1	1
25	1	1	0
25	1	0	0
25	1	0	0
25	1	1	0
25	1	1	0
25	0	0	1
25	0	0	0
25	1	1	1
25	1	1	1
25	1	1	1
25	0	0	1
25	1	1	1
25	0	0	0
25	1	0	0
25	1	0	0
25	0	1	1
25	1	1	0
25	0	1	1
25	1	1	1
25	1	1	1
25	1	1	0
25	0	1	1
25	1	1	0
25	1	1	1
25	0	0	0
25	1	1	1
25	0	1	1
25	1	1	0
25	1	1	1
25	1	1	1
25	1	1	1
25	0	1	1
25	1	1	0
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	0
25	1	0	0
25	1	1	1
25	1	1	1
25	1	1	0
25	0	1	1
25	1	0	1
25	1	1	0
25	0	1	0
25	1	1	1
25	1	1	1
25	1	1	1
25	1	1	1
25	0	1	1
25	1	0	1
25	1	1	1
25	1	1	1
