subject	region	channel	trial_idx
sub-MU6	RMTG	6	2
sub-MU6	RMTG	6	3
sub-MU6	RMTG	6	4
sub-MU6	RMTG	6	5
sub-MU6	RMTG	6	6
sub-MU6	RMTG	6	8
sub-MU6	RMTG	6	9
sub-MU6	RMTG	6	11
sub-MU6	RMTG	6	12
sub-MU6	RMTG	6	14
sub-MU6	RMTG	6	15
sub-MU6	RMTG	6	16
sub-MU6	RMTG	6	17
sub-MU6	RMTG	6	18
sub-MU6	RMTG	6	19
sub-MU6	RMTG	6	20
sub-MU6	RMTG	6	21
sub-MU6	RMTG	6	23
sub-MU6	RMTG	6	25
sub-MU6	RMTG	6	27
sub-MU6	RMTG	6	28
sub-MU6	RMTG	6	29
sub-MU6	RMTG	6	30
sub-MU6	RMTG	6	31
sub-MU6	RMTG	6	32
sub-MU6	RMTG	6	35
sub-MU6	RMTG	6	36
sub-MU6	RMTG	6	37
sub-MU6	RMTG	6	38
sub-MU6	RMTG	6	39
sub-MU6	RMTG	6	40
sub-MU6	RMTG	6	41
sub-MU6	RMTG	6	42
sub-MU6	RMTG	6	43
sub-MU6	RMTG	6	46
sub-MU6	RMTG	6	49
sub-MU6	RMTG	6	51
sub-MU6	RMTG	6	52
sub-MU6	RMTG	6	53
sub-MU6	RMTG	6	56
sub-MU6	RMTG	6	59
sub-MU6	RMTG	6	60
sub-MU6	RMTG	6	61
sub-MU6	RMTG	6	62
sub-MU6	RMTG	6	63
sub-MU6	RMTG	6	64
sub-MU6	RMTG	6	66
sub-MU6	RMTG	6	70
sub-MU6	RMTG	6	77
sub-MU6	RMTG	6	78
sub-MU6	RMTG	6	79
sub-MU6	RMTG	6	81
sub-MU6	RMTG	6	83
sub-MU6	RMTG	6	88
sub-MU6	RMTG	6	90
sub-MU6	RMTG	6	97
sub-MU6	RMTG	6	102
sub-MU6	RMTG	6	105
sub-MU6	RMTG	6	106
sub-MU6	RMTG	6	109
sub-MU6	RMTG	7	2
sub-MU6	RMTG	7	3
sub-MU6	RMTG	7	4
sub-MU6	RMTG	7	5
sub-MU6	RMTG	7	6
sub-MU6	RMTG	7	8
sub-MU6	RMTG	7	9
sub-MU6	RMTG	7	11
sub-MU6	RMTG	7	12
sub-MU6	RMTG	7	14
sub-MU6	RMTG	7	17
sub-MU6	RMTG	7	18
sub-MU6	RMTG	7	19
sub-MU6	RMTG	7	20
sub-MU6	RMTG	7	21
sub-MU6	RMTG	7	23
sub-MU6	RMTG	7	25
sub-MU6	RMTG	7	27
sub-MU6	RMTG	7	28
sub-MU6	RMTG	7	29
sub-MU6	RMTG	7	30
sub-MU6	RMTG	7	31
sub-MU6	RMTG	7	32
sub-MU6	RMTG	7	33
sub-MU6	RMTG	7	34
sub-MU6	RMTG	7	35
sub-MU6	RMTG	7	36
sub-MU6	RMTG	7	37
sub-MU6	RMTG	7	38
sub-MU6	RMTG	7	39
sub-MU6	RMTG	7	40
sub-MU6	RMTG	7	41
sub-MU6	RMTG	7	42
sub-MU6	RMTG	7	43
sub-MU6	RMTG	7	44
sub-MU6	RMTG	7	46
sub-MU6	RMTG	7	47
sub-MU6	RMTG	7	48
sub-MU6	RMTG	7	49
sub-MU6	RMTG	7	51
sub-MU6	RMTG	7	52
sub-MU6	RMTG	7	53
sub-MU6	RMTG	7	54
sub-MU6	RMTG	7	55
sub-MU6	RMTG	7	56
