subject	region	channel	trial_idx
sub-MU3	LMTG	120	1
sub-MU3	LMTG	120	2
sub-MU3	LMTG	120	3
sub-MU3	LMTG	120	4
sub-MU3	LMTG	120	5
sub-MU3	LMTG	120	6
sub-MU3	LMTG	120	7
sub-MU3	LMTG	120	8
sub-MU3	LMTG	120	9
sub-MU3	LMTG	120	10
sub-MU3	LMTG	120	11
sub-MU3	LMTG	120	12
sub-MU3	LMTG	120	13
sub-MU3	LMTG	120	14
sub-MU3	LMTG	120	15
sub-MU3	LMTG	120	16
sub-MU3	LMTG	120	17
sub-MU3	LMTG	120	18
sub-MU3	LMTG	120	19
sub-MU3	LMTG	120	20
sub-MU3	LMTG	120	21
sub-MU3	LMTG	120	22
sub-MU3	LMTG	120	23
sub-MU3	LMTG	120	24
sub-MU3	LMTG	120	25
sub-MU3	LMTG	120	26
sub-MU3	LMTG	120	27
sub-MU3	LMTG	120	28
sub-MU3	LMTG	120	29
sub-MU3	LMTG	120	30
sub-MU3	LMTG	120	31
sub-MU3	LMTG	120	32
sub-MU3	LMTG	120	33
sub-MU3	LMTG	120	34
sub-MU3	LMTG	120	35
sub-MU3	LMTG	120	36
sub-MU3	LMTG	120	37
sub-MU3	LMTG	120	38
sub-MU3	LMTG	120	39
sub-MU3	LMTG	120	40
sub-MU3	LMTG	120	41
sub-MU3	LMTG	120	42
sub-MU3	LMTG	120	43
sub-MU3	LMTG	120	44
sub-MU3	LMTG	120	45
sub-MU3	LMTG	120	46
sub-MU3	LMTG	120	47
sub-MU3	LMTG	120	48
sub-MU3	LMTG	120	49
sub-MU3	LMTG	120	50
sub-MU3	LMTG	120	51
sub-MU3	LMTG	120	52
sub-MU3	LMTG	120	53
sub-MU3	LMTG	120	54
sub-MU3	LMTG	120	55
sub-MU3	LMTG	120	56
sub-MU3	LMTG	120	57
sub-MU3	LMTG	120	58
sub-MU3	LMTG	120	59
sub-MU3	LMTG	120	60
sub-MU3	LMTG	120	61
sub-MU3	LMTG	120	62
sub-MU3	LMTG	120	63
sub-MU3	LMTG	120	64
sub-MU3	LMTG	120	65
sub-MU3	LMTG	120	66
sub-MU3	LMTG	120	67
sub-MU3	LMTG	120	68
sub-MU3	LMTG	120	69
sub-MU3	LMTG	120	70
sub-MU3	LMTG	120	71
sub-MU3	LMTG	120	72
sub-MU3	LMTG	120	73
sub-MU3	LMTG	120	74
sub-MU3	LMTG	120	75
sub-MU3	LMTG	120	76
sub-MU3	LMTG	120	77
sub-MU3	LMTG	120	78
sub-MU3	LMTG	120	79
sub-MU3	LMTG	120	80
sub-MU3	LMTG	120	81
sub-MU3	LMTG	120	82
sub-MU3	LMTG	120	83
sub-MU3	LMTG	120	84
sub-MU3	LMTG	120	85
sub-MU3	LMTG	120	86
sub-MU3	LMTG	120	87
sub-MU3	LMTG	120	88
sub-MU3	LMTG	120	89
sub-MU3	LMTG	120	90
sub-MU3	LMTG	120	91
sub-MU3	LMTG	120	92
sub-MU3	LMTG	120	93
sub-MU3	LMTG	120	94
sub-MU3	LMTG	120	95
sub-MU3	LMTG	120	96
sub-MU3	LMTG	120	97
sub-MU3	LMTG	120	98
sub-MU3	LMTG	120	99
sub-MU3	LMTG	120	100
sub-MU3	LMTG	120	101
sub-MU3	LMTG	120	102
sub-MU3	LMTG	120	103
sub-MU3	LMTG	120	104
sub-MU3	LMTG	120	105
sub-MU3	LMTG	120	106
sub-MU3	LMTG	120	107
sub-MU3	LMTG	120	108
sub-MU3	LMTG	123	1
sub-MU3	LMTG	123	2
sub-MU3	LMTG	123	3
sub-MU3	LMTG	123	4
sub-MU3	LMTG	123	5
sub-MU3	LMTG	123	6
sub-MU3	LMTG	123	7
sub-MU3	LMTG	123	8
sub-MU3	LMTG	123	9
sub-MU3	LMTG	123	10
sub-MU3	LMTG	123	11
sub-MU3	LMTG	123	12
sub-MU3	LMTG	123	13
sub-MU3	LMTG	123	14
sub-MU3	LMTG	123	15
sub-MU3	LMTG	123	16
sub-MU3	LMTG	123	17
sub-MU3	LMTG	123	18
sub-MU3	LMTG	123	19
sub-MU3	LMTG	123	20
