subject	region	channel	trial_idx
sub-P3	LMTG	18	1
sub-P3	LMTG	18	3
sub-P3	LMTG	18	4
sub-P3	LMTG	18	5
sub-P3	LMTG	18	6
sub-P3	LMTG	18	7
sub-P3	LMTG	18	10
sub-P3	LMTG	18	11
sub-P3	LMTG	18	12
sub-P3	LMTG	18	13
sub-P3	LMTG	18	14
sub-P3	LMTG	18	15
sub-P3	LMTG	18	18
sub-P3	LMTG	18	19
sub-P3	LMTG	18	20
sub-P3	LMTG	18	22
sub-P3	LMTG	18	23
sub-P3	LMTG	18	25
sub-P3	LMTG	18	28
sub-P3	LMTG	18	29
sub-P3	LMTG	18	30
sub-P3	LMTG	18	31
sub-P3	LMTG	18	32
sub-P3	LMTG	18	33
sub-P3	LMTG	18	34
sub-P3	LMTG	18	36
sub-P3	LMTG	18	38
sub-P3	LMTG	18	39
sub-P3	LMTG	18	40
sub-P3	LMTG	18	41
sub-P3	LMTG	18	42
sub-P3	LMTG	18	43
sub-P3	LMTG	18	44
sub-P3	LMTG	18	46
sub-P3	LMTG	18	47
sub-P3	LMTG	18	48
sub-P3	LMTG	18	49
sub-P3	LMTG	18	50
sub-P3	LMTG	18	52
sub-P3	LMTG	18	53
sub-P3	LMTG	18	55
sub-P3	LMTG	18	57
sub-P3	LMTG	18	58
sub-P3	LMTG	18	59
sub-P3	LMTG	18	60
sub-P3	LMTG	18	61
sub-P3	LMTG	18	62
sub-P3	LMTG	18	63
sub-P3	LMTG	18	64
sub-P3	LMTG	18	66
sub-P3	LMTG	18	67
sub-P3	LMTG	18	68
sub-P3	LMTG	18	69
sub-P3	LMTG	18	71
sub-P3	LMTG	18	72
sub-P3	LMTG	18	73
sub-P3	LMTG	18	74
sub-P3	LMTG	18	75
sub-P3	LMTG	18	76
sub-P3	LMTG	18	77
sub-P3	LMTG	18	78
sub-P3	LMTG	18	79
sub-P3	LMTG	18	81
sub-P3	LMTG	18	82
sub-P3	LMTG	18	83
sub-P3	LMTG	18	84
sub-P3	LMTG	18	85
sub-P3	LMTG	18	86
sub-P3	LMTG	18	87
sub-P3	LMTG	18	88
sub-P3	LMTG	18	89
sub-P3	LMTG	18	90
sub-P3	LMTG	18	91
sub-P3	LMTG	18	92
sub-P3	LMTG	18	94
sub-P3	LMTG	18	95
sub-P3	LMTG	18	96
sub-P3	LMTG	18	97
sub-P3	LMTG	18	98
sub-P3	LMTG	18	99
sub-P3	LMTG	18	100
sub-P3	LMTG	18	103
sub-P3	LMTG	18	104
sub-P3	LMTG	18	106
sub-P3	LMTG	18	107
sub-P3	LMTG	18	108
sub-P3	LMTG	18	109
sub-P3	LMTG	18	110
sub-P3	LMTG	18	111
sub-P3	LMTG	18	112
sub-P3	LMTG	18	113
sub-P3	LMTG	18	114
sub-P3	LMTG	18	115
sub-P3	LMTG	18	116
sub-P3	LMTG	18	117
sub-P3	LMTG	18	118
sub-P3	LMTG	18	119
sub-P3	LMTG	18	120
sub-P3	LMTG	18	121
sub-P3	LMTG	18	123
sub-P3	LMTG	18	124
sub-P3	LMTG	18	125
sub-P3	LMTG	18	126
sub-P3	LMTG	18	127
sub-P3	LMTG	18	130
sub-P3	LMTG	18	132
sub-P3	LMTG	18	133
sub-P3	LMTG	18	135
sub-P3	LMTG	18	136
sub-P3	LMTG	18	137
sub-P3	LMTG	18	138
sub-P3	LMTG	18	139
sub-P3	LMTG	18	140
