channel	perf1	perf2	perf3
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	0
26	1	0	1
26	1	0	0
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	0
26	1	1	1
26	1	0	1
26	0	1	1
26	0	1	1
26	0	1	1
26	1	0	1
26	1	1	0
26	1	0	1
26	1	1	1
26	0	0	1
26	1	1	0
26	1	1	1
26	1	1	0
26	0	1	1
26	1	1	0
26	1	0	1
26	1	1	1
26	1	0	0
26	1	1	1
26	0	1	0
26	1	1	1
26	1	0	1
26	1	1	0
26	1	1	1
26	1	0	1
26	1	1	1
26	1	0	0
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	0	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	0	1
26	1	1	0
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	0	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	0	0
26	1	1	1
26	1	1	0
26	1	1	1
26	1	1	0
26	1	0	0
26	1	1	0
26	1	1	0
26	1	1	0
26	1	1	1
26	1	1	1
26	1	0	1
26	0	1	1
26	1	0	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	0	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
26	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	1	0	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	1	1	1
27	1	0	1
27	0	1	1
27	0	1	1
27	0	1	1
27	1	0	1
27	1	0	1
27	1	1	1
27	0	0	1
27	1	1	0
27	1	1	1
27	1	1	1
27	1	1	0
27	0	1	1
27	1	1	0
27	1	0	1
27	1	1	1
27	1	0	0
27	1	1	1
27	0	1	0
27	1	1	1
27	1	0	1
27	1	1	0
27	1	1	1
27	1	1	1
27	1	0	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	1
27	1	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	0
27	1	1	1
27	1	1	0
27	1	1	0
27	1	1	0
27	1	1	0
27	1	1	1
27	1	1	1
27	1	0	1
27	0	1	1
27	1	0	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	0
28	1	0	1
28	1	0	0
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	0
28	1	1	1
28	1	0	1
28	0	1	1
28	0	1	1
28	0	1	1
28	1	0	1
28	1	0	1
28	1	1	1
28	0	0	1
28	1	1	0
28	1	1	1
28	1	1	1
28	1	1	0
28	0	1	1
28	1	1	0
28	1	0	1
28	1	1	1
28	1	0	0
28	1	1	1
28	0	1	0
28	1	1	1
28	1	0	1
28	1	1	0
28	1	1	1
28	1	1	1
28	1	0	0
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	0	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	0	1
28	1	1	0
28	1	1	1
28	1	1	1
28	1	1	1
28	0	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	0	0
28	1	1	1
28	1	1	0
28	1	1	0
28	1	1	0
28	1	1	0
28	1	1	1
28	1	1	0
28	1	1	1
28	1	1	1
28	1	0	1
28	0	1	1
28	1	0	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	0	1
28	1	1	1
28	1	1	1
28	1	1	1
28	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	0
46	1	0	1
46	1	0	0
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	0
46	1	1	1
46	1	0	1
46	0	1	1
46	0	1	1
46	1	0	1
46	1	0	1
46	1	1	1
46	0	0	1
46	1	1	0
46	1	1	1
46	1	1	0
46	0	1	1
46	1	1	0
46	1	0	1
46	1	1	1
46	1	0	0
46	1	1	1
46	0	1	0
46	1	0	1
46	1	1	0
46	1	1	1
46	1	1	1
46	1	0	0
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	0	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	0
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	0	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	0	0
46	1	1	1
46	1	1	0
46	1	1	0
46	1	1	1
46	1	1	0
46	1	1	1
46	1	1	1
46	1	0	1
46	0	1	1
46	1	0	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	0	1
46	1	1	1
46	1	1	1
46	1	1	1
46	1	1	1
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	0
107	1	0	1
107	1	0	0
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	0
107	1	0	1
107	0	1	1
107	0	1	1
107	0	1	1
107	1	0	1
107	1	0	1
107	1	1	1
107	0	0	1
107	1	1	0
107	1	1	1
107	1	1	0
107	1	1	0
107	0	1	1
107	1	1	0
107	1	0	0
107	0	1	0
107	1	1	1
107	1	0	1
107	1	1	0
107	1	1	1
107	1	1	1
107	1	0	1
107	1	0	0
107	1	1	1
107	1	1	1
107	1	1	1
107	0	1	1
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	1
107	1	1	1
