channel	perf1	perf2	perf3
43	0	1	0
43	1	1	0
43	1	0	1
43	1	0	1
43	1	1	0
43	0	1	1
43	1	0	0
43	1	1	0
43	0	0	1
43	0	1	1
43	1	1	1
43	1	1	0
43	1	0	1
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	0
43	1	0	1
43	1	0	1
43	0	1	1
43	1	1	1
43	1	1	1
43	0	1	1
43	0	0	0
43	1	0	0
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	1
43	1	1	0
43	0	1	1
43	0	1	1
43	0	1	1
43	1	1	0
43	1	1	0
43	1	1	1
43	1	1	1
43	0	0	1
43	1	1	1
43	1	1	0
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	0	1
43	0	1	1
43	1	1	0
43	1	1	0
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	0	1	0
43	0	1	0
43	1	0	1
43	1	1	1
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	0	1	0
43	1	0	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	0
43	1	0	1
43	1	1	1
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	0	1	1
43	1	1	1
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	0
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	0	0	1
43	1	1	1
43	0	0	0
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	1
43	1	1	1
43	0	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	0	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	0
43	1	1	1
43	1	1	1
43	1	1	1
43	1	1	1
43	0	0	0
44	0	1	0
44	1	1	0
44	1	0	1
44	1	0	1
44	1	1	0
44	0	1	1
44	1	0	0
44	1	1	0
44	0	0	1
44	0	1	1
44	1	1	1
44	1	1	0
44	1	0	1
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	0
44	1	0	1
44	1	0	1
44	0	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	0	0	0
44	1	0	0
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	0
44	0	1	1
44	0	1	1
44	0	1	1
44	1	1	0
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	1
44	0	0	1
44	0	1	1
44	1	1	1
44	1	1	0
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	0	1
44	0	1	1
44	1	1	0
44	1	1	0
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	1
44	0	1	0
44	0	1	0
44	1	1	0
44	1	0	1
44	1	1	1
44	1	1	1
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	0
44	1	1	1
44	1	0	1
44	1	1	1
44	0	1	0
44	1	0	1
44	1	1	1
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	0
44	1	1	0
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	0
44	1	1	0
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	0
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	0	0	1
44	1	1	1
44	0	0	0
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	0	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	0	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	0
44	1	1	1
44	1	1	1
44	1	1	1
44	0	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	1	1	1
44	0	0	0
45	0	1	0
45	1	1	0
45	1	0	1
45	1	0	1
45	1	1	0
45	0	1	1
45	1	0	0
45	1	1	0
45	0	0	1
45	0	1	1
45	1	1	1
45	1	1	0
45	1	0	1
45	0	1	1
45	1	1	1
45	1	1	1
45	1	1	0
45	1	1	1
45	1	1	0
45	1	0	1
45	1	0	1
45	0	1	1
45	1	1	1
45	1	1	1
45	0	1	1
45	0	0	0
45	1	0	0
45	1	1	1
45	1	0	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	0	1
45	1	1	1
45	1	1	1
45	1	1	0
45	0	1	1
45	0	1	1
45	0	1	1
45	1	1	0
45	1	1	1
45	1	1	0
45	1	1	1
45	1	1	1
45	0	0	1
45	0	1	1
45	1	1	1
45	1	1	0
45	0	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	0	1
45	0	1	1
45	1	1	0
45	1	1	0
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	0
45	1	1	1
45	1	1	1
45	0	1	0
45	0	1	0
45	1	1	0
45	1	0	1
45	1	1	1
45	1	1	1
45	0	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	0	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	1
45	1	1	0
45	1	1	0
45	1	1	1
45	1	0	1
45	1	1	1
45	0	1	0
45	1	0	1
45	1	1	1
45	1	1	1
45	1	0	1
45	1	1	1
45	1	1	0
