channel	perf1	perf2	perf3
27	1	0	1
27	1	1	1
27	1	1	1
27	1	0	0
27	1	0	1
27	1	1	1
27	1	1	1
27	1	1	0
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	0
27	1	0	1
27	1	1	1
27	1	0	1
27	1	1	1
27	1	1	0
27	0	0	1
27	0	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	1	1	1
27	0	0	1
27	0	0	0
27	1	1	1
27	0	0	0
27	1	1	1
27	0	1	1
27	1	1	1
27	1	0	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	1	0
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	0	0	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	1	1	0
27	1	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	0
27	1	0	1
27	1	1	1
27	1	1	0
27	1	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	1	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	0
27	1	1	1
27	1	1	1
27	1	0	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	0	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	1
27	0	1	1
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	1	0	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	1	1	0
27	1	0	1
27	0	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	1	1	1
27	1	0	1
27	1	1	0
27	1	1	1
27	1	1	1
27	1	1	0
27	0	1	1
27	0	1	0
27	1	1	1
27	1	0	1
27	1	1	1
27	1	1	0
27	1	1	0
27	0	1	0
27	1	1	1
27	1	1	0
27	0	0	1
27	1	1	1
27	1	1	1
27	0	1	1
27	1	1	1
27	0	1	1
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	0	0	1
27	0	1	0
27	1	0	1
27	1	0	1
27	1	0	1
27	1	1	1
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	0
27	0	1	0
27	1	1	0
27	0	1	1
27	1	0	0
27	0	0	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	1	1	1
27	1	1	0
27	1	1	0
27	0	1	0
27	0	1	1
27	1	1	1
27	1	0	1
27	0	0	1
27	1	1	1
27	1	1	0
27	1	1	1
27	1	0	1
27	0	0	0
27	1	1	1
27	1	0	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	0	0	1
27	0	1	1
27	0	1	0
27	0	1	1
27	0	1	0
27	1	1	1
27	1	1	0
27	1	0	1
27	1	1	0
27	1	1	0
27	1	1	0
27	1	1	1
27	1	1	0
27	0	1	0
27	1	1	1
27	1	0	1
27	1	1	0
27	0	1	1
27	1	1	1
27	1	1	1
27	1	1	1
27	1	0	1
27	1	0	1
27	1	0	1
27	1	1	1
27	0	0	1
27	0	1	0
27	1	1	1
27	1	1	1
27	1	1	1
27	1	1	0
27	1	0	1
27	1	1	0
27	1	1	1
27	1	1	0
27	1	1	0
27	0	1	1
27	1	1	1
27	1	0	0
27	1	1	0
27	1	0	0
27	1	1	1
27	1	1	0
27	0	1	0
27	1	1	1
27	1	1	1
34	1	0	1
34	1	1	1
34	1	1	1
34	1	0	0
34	1	0	1
34	1	1	1
34	0	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	0	1	1
34	1	1	0
34	1	0	1
34	1	0	1
34	1	1	1
34	1	1	0
