channel	perf1	perf2	perf3
32	0	0	0
32	1	0	0
32	1	1	1
32	1	1	1
32	1	1	1
32	0	0	0
32	0	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	0	1	1
32	1	1	1
32	0	0	1
32	1	1	1
32	1	0	1
32	1	0	0
32	1	0	0
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	0	1
32	1	1	1
32	1	1	1
32	1	1	0
32	1	1	0
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	0
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	0	0	1
32	1	1	1
32	1	1	1
32	1	0	1
32	1	1	1
32	0	0	0
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	0	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	0	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	0	0	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	0
32	1	1	1
32	1	1	0
32	1	1	1
32	1	1	1
32	1	1	0
32	1	1	1
32	0	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	0
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	0	1	1
32	0	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	0	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
32	1	0	0
32	1	1	1
32	1	1	1
32	1	1	1
32	1	1	1
33	0	0	0
33	1	0	0
33	1	1	1
33	1	1	1
33	1	1	1
33	0	0	0
33	0	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	0	1	1
33	1	1	1
33	0	0	1
33	1	1	1
33	1	0	1
33	1	0	0
33	1	0	0
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	0	1
33	1	1	1
33	1	1	1
33	1	1	0
33	1	1	0
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	0
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	0	0	1
33	1	1	1
33	1	1	1
33	1	0	1
33	1	1	1
33	0	0	0
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	0	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	0	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	0	0	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	0
33	1	1	1
33	1	1	0
33	1	1	1
33	1	1	1
33	1	1	0
33	1	1	1
33	0	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	0
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	0	1	1
33	0	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	0	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
33	1	0	0
33	1	1	1
33	1	1	1
33	1	1	1
33	1	1	1
34	0	0	0
34	1	0	0
34	1	1	1
34	1	1	1
34	1	1	1
34	0	0	0
34	0	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	0	1	1
34	1	1	1
34	0	0	1
34	1	1	1
34	1	0	1
34	1	0	0
34	1	0	0
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	0	1
34	1	1	1
34	1	1	1
34	1	1	0
34	1	1	0
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	0
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	0	0	1
34	1	1	1
34	1	1	1
34	1	0	1
34	1	1	1
34	0	0	0
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	0	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	0	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	0	0	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	0
34	1	1	1
34	1	1	0
34	1	1	1
34	1	1	1
34	1	1	0
34	1	1	1
34	0	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	0
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	0	1	1
34	0	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	0	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
34	1	0	0
34	1	1	1
34	1	1	1
34	1	1	1
34	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	0	0	0
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	0	1	1
35	1	1	1
35	1	1	1
35	1	0	1
35	1	0	0
35	1	0	0
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	0	1
35	1	1	1
35	1	1	0
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	0	0	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	0	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	0	0	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	0
35	1	1	1
35	1	1	0
35	1	1	1
35	1	1	1
35	1	1	0
35	1	1	1
35	0	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	0	1	1
35	1	1	1
35	1	1	1
35	0	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	1	1
35	1	0	0
