name	type	units	low_cutoff	high_cutoff	sampling_frequency	modulated	n_trials	padding
LMTG-50	EEG	uV	n/a	n/a	1000	0	140	467856
RMTG-54	EEG	uV	n/a	n/a	1000	0	205	45486
RMTG-55	EEG	uV	n/a	n/a	1000	1	209	19494
RMTG-56	EEG	uV	n/a	n/a	1000	1	212	0
RMTG-57	EEG	uV	n/a	n/a	1000	1	208	25992
RMTG-58	EEG	uV	n/a	n/a	1000	1	155	370386
RMTG-59	EEG	uV	n/a	n/a	1000	1	150	402876
RMTG-65	EEG	uV	n/a	n/a	1000	1	204	51984
RMTG-66	EEG	uV	n/a	n/a	1000	1	211	6498
RMTG-67	EEG	uV	n/a	n/a	1000	1	199	84474
RMTG-68	EEG	uV	n/a	n/a	1000	1	162	324900
LMFG-13	EEG	uV	n/a	n/a	1000	1	211	6498
LMFG-14	EEG	uV	n/a	n/a	1000	1	211	6498
LMFG-15	EEG	uV	n/a	n/a	1000	1	207	32490
LMFG-16	EEG	uV	n/a	n/a	1000	1	196	103968
LMFG-42	EEG	uV	n/a	n/a	1000	1	170	272916
LMFG-43	EEG	uV	n/a	n/a	1000	1	164	311904
